feature,importance
power_W,0.16288974881077442
weld_time_ms,0.1305619751106208
ambient_temperature_C,0.11580823584921128
pressure_MPa,0.09628405845399086
cathode_thickness_um,0.09334874586355017
ambient_humidity_percent,0.06146474740810792
anode_surface_roughness_um,0.057774760144665094
anode_thickness_um,0.05465713808972561
preheat_temperature_C,0.049846051109866486
clamping_force_N,0.048739590391792965
cathode_surface_roughness_um,0.03789816018483971
anode_coating_Tin,0.006301653154401868
anode_coating_Nickel,0.006169805181882236
welding_technique_Resistance_Spot,0.00554685175190555
cleaning_method_Plasma,0.0054552059944686935
cleaning_method_Mechanical,0.005166592814263183
cleaning_method_Chemical,0.005075257446465232
cathode_material_Aluminum,0.004961720584385741
cathode_coating_Silver,0.0046905886353516835
cathode_coating_Tin,0.004528260649952134
cathode_material_Copper,0.004437946230546561
anode_material_Aluminum,0.004326915858301039
cathode_coating_Oxide,0.00429399191354051
anode_material_Nickel,0.00414856421529649
anode_material_Copper,0.004103142155159149
cathode_coating_Nickel,0.0036384031717359164
anode_coating_Silver,0.003621788065641726
cathode_material_Nickel,0.0033973369941464526
anode_coating_Oxide,0.00300758186630957
welding_technique_Friction_Stir,0.0026967877141156507
anode_material_Steel_304,0.002354246682525307
welding_technique_Ultrasonic,0.002192122757981484
welding_technique_Laser,0.0006120247444786599
