sample_id,anode_material,cathode_material,tab_thickness_um,surface_finish,welding_technique,power_w,amplitude_um,force_n,time_s,speed_mm_s,pulse_frequency_hz,preheat_temp_c,weld_angle_deg,overlap_ratio,atmosphere,material_compatibility,process_intensity,energy_density,thermal_mass_anode,weld_strength_mpa,contact_resistance_ohm_m2,weld_width_mm,penetration_mm,porosity_percent,microhardness_hv,haz_width_mm,intermetallic_thickness_um,weld_quality_score,thermal_cycles_to_failure,max_operating_temp_c,resistance_degradation_rate,strength_retention_percent,failure_mode,joint_thermal_conductivity,stress_concentration_factor,thermal_fatigue_life,electrical_stability_score,thermal_stability_score
WS_000000,nickel,titanium,121.44685351053074,Rough,Resistance_Spot,1899.774242362026,,2566.6200138464023,0.3403715250276316,,,45.71602722594934,29.28998128269838,0.1451292632216802,Vacuum,94.09700000000001,646.6290560809762,128804.0326315091,479909386.3322133,585.4547810973611,1.526968796869579e-07,1.3031086255848336,0.6785171275727763,0.1467050125870697,656.095171081591,0.7663864399533836,0.3667762070144138,99.3218518420585,244,850.5974041087176,5.665263828553487e-12,50.0,General_Degradation,56.39641921366005,1.3724725570740635,201.15122629927666,57.81988496223879,71.60655555261755
WS_000001,titanium,aluminum,157.91851038324938,Coated,USW,2043.7037740692913,65.04878444394528,113.42597991746307,0.14381860757868994,,,114.45943884651004,17.993743727186498,0.13733253057089234,Vacuum,81.172,293.922631089959,81950.54940846437,371661214.18697745,18.376730507446062,2.995868298438215e-07,0.7869359576067149,0.18841986122922483,0.04814195835428159,896.7585064303738,0.23957514525062615,0.1226372692699911,60.499165013532796,100,290.9444256289777,2.5752736182353305e-11,52.549954821793406,Thermal_Fatigue,129.42178228323854,1.2048577909640132,119.51980628107704,54.96557412493715,59.499749504059835
WS_000002,titanium,nickel,82.79169030426586,Coated,Friction_Stir,8067.917612223739,,8739.463660626885,20.72891861904561,95.59485787421316,,22.387693008775976,42.39907900581837,0.5506305742764315,Argon,94.09700000000001,167239.20760895067,1177031.148127462,194850243.13108972,803.0864259410281,6.91849981839265e-08,19.37612622468685,10.567515029920747,10.607242045180474,484.1432483432243,11.576347948403235,1.4272990839817379,83.88158193767751,689,872.041772761578,1.0593946564320544e-11,54.71656457982088,Crack_Propagation,50.43481978060095,2.793770425802117,584.6028550782966,40.586000726429404,66.97447458130326
WS_000003,copper,aluminum,119.63989140283653,Coated,Friction_Stir,7721.982418614817,,2098.3441136030096,15.360130393226836,16.533819011891495,,183.67767237418076,11.645099172000762,0.6300178274831856,Argon,91.20800000000001,118610.65684412872,539481.7879689761,412709769.3832249,440.75013528649055,1.312989016050696e-08,21.137823174446783,6.7101016105554825,5.960867295546968,140.95438727811626,11.048582745383932,5.80198224724762,86.27932020911727,1516,351.53133231907714,2.0464737698584126e-11,50.65603479104199,Thermal_Fatigue,297.7768590531674,2.3405266121693407,1665.9332721249377,73.41544204915631,90.60379606273519
WS_000004,aluminum,titanium,106.77904301333386,Coated,USW,2902.930060873373,86.00804638103362,1519.9082092610236,1.1254150515392516,,,125.61520981949268,43.43648882688621,0.5856273981493477,Air,81.172,3267.0011840726497,254603.59064079434,259473074.52240127,285.93549311796465,6.850410853056678e-08,2.1468038316054434,0.6093182387503635,1.7518447750174007,512.9818137895732,0.8577790234644294,0.1505538007259146,80.04155996131938,150,283.50570520878534,1.074953296500381e-11,51.63569933973074,Thermal_Fatigue,127.21220585137992,1.555179686115653,133.67991739346778,62.452822262721085,65.36246798839582
WS_000005,copper,copper,130.2816307594439,Polished,USW,2967.217341501293,79.50202923669917,477.5597949149276,0.11049202253484457,,,166.78305712187014,31.80858047314277,0.6832057344327899,Air,100.0,327.8538453629425,174816.72758238073,449419513.4677777,129.43309770436204,7.0011100116851e-09,0.5631061106242932,0.26126058614872993,1.71510506113469,553.9444921321922,0.30171005796822875,0.0,67.76098689461188,5281,578.3801583902696,1.3956213058231134e-12,97.13687396807461,General_Degradation,393.1395797554612,1.3825589117509445,4635.311392280061,92.05424081192189,90.32829606838357
WS_000006,nickel,copper,121.97981010235469,Polished,Friction_Stir,7842.858763796644,,1858.6910484137018,11.753729313749725,137.07983800608537,,139.8660241911494,26.60840044684772,0.3197774343920513,Nitrogen,94.02700000000002,92182.83895563554,527106.6415507625,482015417.6004648,811.0012206194832,1.126751733780647e-08,16.62901465833277,8.458869519583573,10.396845235561253,220.70101239338638,5.337356585726376,4.124475310773886,84.3709295946447,5397,610.9712496551138,4.830913513644902e-12,61.72550117324563,Crack_Propagation,219.06846041769538,2.00775656775234,5058.816566602292,58.892993064877416,87.38127887839342
WS_000007,copper,nickel,107.5017186373632,Anodized,USW,2304.323802912183,31.238642777406017,586.5298132465155,0.17682382012301956,,,147.91932014344172,4.99008693653241,0.45146920149261616,Nitrogen,94.02700000000002,407.4593376313362,199394.27796518453,370837928.6114481,247.70542145958618,7.17205529788502e-08,0.8479840438237776,0.33348514977055926,1.1325303597853853,325.7636253815213,0.45173586882880506,0.38934767071543974,77.90247651815227,378,570.2485821892186,2.525995117765298e-12,60.07828275011033,General_Degradation,242.62513564104765,1.1177250634439122,343.10311411240514,61.31418772910376,85.44074295544569
WS_000008,nickel,titanium,102.79106356581124,Oxidized,Resistance_Spot,6439.756413500355,,2929.284910857529,0.21103061248742172,,,189.7136427004366,26.94894599198412,0.6558279464317637,Vacuum,94.09700000000001,1358.985740210782,609478.9644187376,406189166.78665966,684.6636563190806,2.351116254604976e-07,1.0044300723662547,0.43092804070827045,0.3356741095210173,1696.290478780386,1.0616705919523102,0.15072160175725835,98.79115395933698,171,876.4127040242832,3.993078196476062e-12,51.65845272394255,General_Degradation,56.30185694285813,1.3823700013054927,155.68757423196223,57.25297767143695,71.44734618780109
WS_000009,aluminum,aluminum,55.086215453787446,Polished,USW,2678.6514754692944,82.33048692092031,454.4831118834681,1.7958620971309578,,,117.08160354481713,36.334806982382815,0.8168730399387946,Nitrogen,100.0,4810.488656219221,882734.9819284105,133859503.5527035,93.11416818120433,1.4791188908232128e-08,2.26031822870301,1.0575343276333504,2.4245611859528657,123.30956143881151,2.0736806009239994,0.0,63.76791810884235,2764,350.97745832033536,8.739733722342629e-13,94.2783144632003,General_Degradation,231.2537899892917,1.6192073536352853,3083.2432547919425,86.80984087884855,82.83037543265272
