Participant_ID,Data_Collection_Date,Country,Country_Name,Age,Gender,Gender_Label,Education,Education_Label,Income_Level,Income_Label,Income_Band_NGN,Income_Band_GHS,Bank_Type,Bank_Type_Label,Years_with_Account,Frequency_of_Use,Frequency_Label,Past_Victim,Past_Victim_Label
P0001,2025-01-15 00:00:00,1,Nigeria,46,1,Male,1,No formal education,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",1,Traditional Commercial Bank,1.0,4,Monthly,0,No
P0002,2025-01-15 00:06:00,1,Nigeria,37,1,Male,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,4.9,2,Several times a week,0,No
P0003,2025-01-15 00:12:00,1,Nigeria,36,2,Female,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,6.2,3,Weekly,0,No
P0004,2025-01-15 00:18:00,1,Nigeria,36,2,Female,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",3,Microfinance Bank,2.0,5,Less than monthly,0,No
P0005,2025-01-15 00:24:00,1,Nigeria,67,2,Female,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,2.6,2,Several times a week,0,No
P0006,2025-01-15 00:30:00,1,Nigeria,51,2,Female,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,9.3,4,Monthly,1,Yes
P0007,2025-01-15 00:36:00,1,Nigeria,33,1,Male,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,5.7,1,Daily,0,No
P0008,2025-01-15 00:42:00,1,Nigeria,47,2,Female,4,Vocational/Diploma,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",3,Microfinance Bank,7.5,2,Several times a week,0,No
P0009,2025-01-15 00:48:00,1,Nigeria,42,1,Male,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,13.7,2,Several times a week,1,Yes
P0010,2025-01-15 00:54:00,1,Nigeria,22,1,Male,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,1.6,2,Several times a week,0,No
