thermal_cycling_cycles_to_failure,resistance_growth_pct_after_cycling,shear_strength_mpa,peel_strength_n,fracture_mode,microcrack_density_per_mm
324,22.30993852240627,20.28333303019793,78.47499886324223,pullout,5.223206509482269
50,54.432445013962614,7.154612956511447,28.204798586917924,pullout,12.831781610098655
369,18.817707935036996,11.113368175673788,43.050130658776695,pullout,4.206314492004525
753,5.094720600066639,9.437411254353425,36.25279220382534,pullout,0.32678763422491985
511,13.014294096278807,10.169685057179677,38.99881896442379,pullout,2.1702265862012053
327,13.255556635146753,9.13312345845047,35.11171296918926,pullout,3.820090733500283
718,7.230927352230422,12.909066957214598,49.27150108955475,pullout,0.37012765595923136
1930,0.1528365233512532,12.861705823487295,49.09389683807734,pullout,0.33328850587652625
1034,3.0128888080509215,7.966994171620726,30.73872814357772,pullout,0.2018907879955798
1108,4.425294312065371,16.331119613491257,63.65419855059221,pullout,0.12885212377998506
872,5.716671712410692,12.130776833673533,46.35291312627574,pullout,0.665257910913623
1142,3.3743515887358684,9.466770398611327,36.36288899479247,pullout,0.0915840341958744
497,15.104880495338154,14.748979756517421,57.72117408694033,pullout,2.3970987958221723
68,71.00615871501634,5.1792400021945415,20.28465000822953,pullout,16.810755045053256
88,79.73050501840609,11.528626788014616,45.644850455054815,pullout,19.130042644412487
265,41.05196650253253,7.70290827600728,29.7484060350273,pullout,9.545145675623537
1119,6.018225334550166,7.583453617481433,29.30045106555537,pullout,0.21530888416046423
1198,3.237786865787038,11.72626557202212,45.34849589508295,pullout,0.34717292180185405
699,11.269619661272628,8.008462252810537,30.89423344803951,pullout,2.2520579731663934
271,107.26930957971906,7.323373458795875,28.837650470484533,pullout,25.937234605502603
573,8.395229818073238,9.713408043698085,37.28778016386781,pullout,1.1839746055466538
2192,0.0,8.092114299256552,31.20792862221207,pullout,0.053411366394712015
725,5.325948841909765,10.763734636833785,41.2265048881267,pullout,1.5024345184892445
129,200.0,11.134423302099755,44.166587382874084,interfacial,50.0
145,106.48533131337993,5.17920376700045,20.284514126251686,pullout,25.884864193043978
64,59.76335933872255,6.213628503762968,24.16360688911113,pullout,14.293684892985588
450,18.026514564256303,9.079293627534266,34.9098511032535,pullout,3.5550523919627235
860,7.73233721626093,10.396603904316548,39.84976464118705,pullout,0.9304849615323791
1286,3.0762257375203954,10.193884364713625,39.0895663676761,pullout,0.19547652395657159
263,21.227476143705747,9.408902893763132,36.65838585161175,pullout,4.797499913446611
2266,0.0,7.1796379579886125,27.7861423424573,pullout,0.0
527,9.00964566409953,12.520629748090936,48.327361555341014,pullout,1.4035641920598503
1456,2.1953898614255043,7.104515536997487,27.504433263740573,pullout,0.15652468929389543
1352,1.9906137523530374,5.248515752499204,20.544434071872015,pullout,0.004194556278527724
50,172.5101225074711,11.447850771132952,45.34194039174857,interfacial,42.424579636043944
537,23.11579140400535,14.45938087597924,55.59767828492215,pullout,5.278092948015115
2117,0.0,13.787719182721656,53.07894693520622,pullout,0.10689779680540112
186,22.518906920820214,5.259031196135231,20.583866985507118,pullout,5.071913426734288
50,52.44996215219936,7.216114456074315,28.43542921027868,interfacial,12.532202933555672
1214,2.2299144212250828,9.462449793537278,36.85918672576479,pullout,0.0
999,4.29926170617581,9.811802813687738,37.656760551329015,pullout,0.64803283390799
468,17.81595196140126,5.383567797189525,21.05087923946072,pullout,3.497191807701626
333,20.39665155028265,15.480714923460807,59.42768096297803,pullout,4.083184098853153
882,5.261443768262178,7.5405524727070095,29.139571772651284,pullout,0.49787639496052816
493,19.308471205187104,14.040001819799237,53.512506824247126,pullout,4.557416913219433
311,23.20837597264604,5.310794380769553,20.777978927885826,pullout,4.0864702185942505
1009,4.560293698622106,5.219665109814228,20.436244161803355,pullout,0.15317795558247035
459,15.995381329326417,7.43266840043308,29.24750650162405,pullout,3.382113225297172
481,13.656332897106548,15.405729557374423,59.146485840154085,pullout,2.7037315476930943
916,6.4147203220184466,11.368730911496481,44.00774091811179,pullout,0.931696890351689
1199,2.736841377812726,9.338128333616705,36.39298125106265,pullout,0.12113189809744196
123,46.20620249453711,5.6108693270739405,21.903259976527274,pullout,10.556892384668757
630,8.49262772583612,7.277938861740838,28.66727073152814,pullout,1.6226079119442258
1690,1.1871863783866412,15.944763302258185,61.16786238346819,pullout,0.0
1862,0.0030743901486032232,5.24337760629537,20.52516602360764,pullout,0.0
