sample_id,temperature_C,fuel_utilization,anode_porosity,j_max_A_per_m2,curve_points,curve_file,T_stack_K,eta_elec
0,707.6512006662592,0.6114746245530958,0.21147810351482416,10267.792023319073,60,curves/sample_000000.csv,980.8012006662592,0.55
1,766.3212017850062,0.6994925186432444,0.29949778415114525,12321.242062475218,60,curves/sample_000001.csv,1039.471201785006,0.55
2,872.1082234232883,0.858153028902724,0.45817051708954654,16023.787819815092,60,curves/sample_000002.csv,1145.2582234232882,0.55
3,814.1892287284932,0.771281868270915,0.37127199448158477,13996.62300549726,60,curves/sample_000003.csv,1087.3392287284933,0.55
4,806.8606365413685,0.760281506180862,0.36028772108343443,13740.1222789479,60,curves/sample_000004.csv,1080.0106365413685,0.55
5,845.7937525702947,0.8186886044940463,0.4186950384510142,15102.781339960315,60,curves/sample_000005.csv,1118.9437525702947,0.55
6,844.144258048959,0.8162209522976797,0.4162136295467203,15045.049031713566,60,curves/sample_000006.csv,1117.294258048959,0.55
7,771.257162709522,0.7069017156523885,0.3068878360444297,12494.000694833272,60,curves/sample_000007.csv,1044.407162709522,0.55
8,832.512540666949,0.7987818201967987,0.3987677961018812,14637.938923343216,60,curves/sample_000008.csv,1105.662540666949,0.55
9,709.445007632392,0.61416563928964,0.21417092640240729,10330.575267133721,60,curves/sample_000009.csv,982.595007632392,0.55
10,700.1335182442485,0.6001766617282258,0.20020017115446567,10004.673138548698,60,curves/sample_000010.csv,973.2835182442485,0.55
11,813.0993506045932,0.7696584440992141,0.36965182948115793,13958.47727116076,60,curves/sample_000011.csv,1086.249350604593,0.55
12,898.038569681519,0.8970525718727287,0.4970483829069091,16931.349938853164,60,curves/sample_000012.csv,1171.1885696815189,0.55
13,882.8936580069981,0.8743411942948449,0.4743312603808673,16401.278030244932,60,curves/sample_000013.csv,1156.0436580069982,0.55
14,748.3612168851062,0.6725351590332249,0.2725353050559848,11692.642590978716,60,curves/sample_000014.csv,1021.5112168851061,0.55
15,849.2098927657271,0.8238216474264961,0.4238043243904033,15222.346246800447,60,curves/sample_000015.csv,1122.3598927657272,0.55
16,846.7724275820445,0.820168225858211,0.4201666742162742,15137.034965371558,60,curves/sample_000016.csv,1119.9224275820445,0.55
17,794.8269626616094,0.7422600855209137,0.34224765754866,13318.943693156329,60,curves/sample_000017.csv,1067.9769626616094,0.55
18,766.5856677523861,0.6998566830141201,0.2998714805346584,12330.498371333515,60,curves/sample_000018.csv,1039.7356677523862,0.55
19,729.1751146820494,0.6437646168559701,0.24375368036265324,11021.129013871729,60,curves/sample_000019.csv,1002.3251146820494,0.55
20,786.8833081348639,0.7303407547371172,0.330344065192981,13040.915784720237,60,curves/sample_000020.csv,1060.033308134864,0.55
21,792.1107224113867,0.7381748993693642,0.3381476673793047,13223.875284398537,60,curves/sample_000021.csv,1065.2607224113867,0.55
22,870.2109162990114,0.8553103059689586,0.45530911894306003,15957.382070465399,60,curves/sample_000022.csv,1143.3609162990115,0.55
23,873.5994427036085,0.8604055282208439,0.4604082000590886,16075.980494626298,60,curves/sample_000023.csv,1146.7494427036086,0.55
24,851.9665236747576,0.82795568904992,0.4279573559960425,15318.828328616515,60,curves/sample_000024.csv,1125.1165236747574,0.55
