sample_id,operating_temperature_C,fuel_utilization,current_density_A_per_cm2_max,anode_porosity,vi_curve_path,T_stack_C,eta_elec
0,710.473,0.62616,0.67014,0.23231,/workspace/data/lf/curves/vi_curve_00000.csv,712.161,0.63489
1,807.240,0.69966,1.29292,0.24790,/workspace/data/lf/curves/vi_curve_00001.csv,808.869,0.64162
2,767.443,0.70014,0.44323,0.20050,/workspace/data/lf/curves/vi_curve_00002.csv,767.398,0.69289
3,819.520,0.62096,0.54164,0.33450,/workspace/data/lf/curves/vi_curve_00003.csv,821.031,0.63948
4,881.080,0.62783,0.29905,0.43702,/workspace/data/lf/curves/vi_curve_00004.csv,886.110,0.65815
5,814.682,0.67960,1.27297,0.43064,/workspace/data/lf/curves/vi_curve_00005.csv,817.577,0.63078
6,768.692,0.84045,0.38961,0.38267,/workspace/data/lf/curves/vi_curve_00006.csv,765.745,0.67175
7,763.053,0.71947,1.17699,0.35383,/workspace/data/lf/curves/vi_curve_00007.csv,764.342,0.66046
8,836.967,0.79151,1.03332,0.46703,/workspace/data/lf/curves/vi_curve_00008.csv,835.934,0.66250
9,774.904,0.60955,1.15584,0.25444,/workspace/data/lf/curves/vi_curve_00009.csv,777.011,0.59578
10,864.038,0.87409,1.02130,0.25104,/workspace/data/lf/curves/vi_curve_00010.csv,864.562,0.61367
11,714.658,0.73703,0.90244,0.30083,/workspace/data/lf/curves/vi_curve_00011.csv,717.820,0.68747
12,737.812,0.62645,0.97964,0.20385,/workspace/data/lf/curves/vi_curve_00012.csv,738.468,0.61649
13,806.399,0.81710,1.37281,0.39164,/workspace/data/lf/curves/vi_curve_00013.csv,809.692,0.62677
14,898.359,0.88922,0.98199,0.27001,/workspace/data/lf/curves/vi_curve_00014.csv,898.685,0.60695
15,898.392,0.73335,1.15231,0.21324,/workspace/data/lf/curves/vi_curve_00015.csv,900.339,0.67027
16,726.946,0.65795,0.45891,0.30561,/workspace/data/lf/curves/vi_curve_00016.csv,727.540,0.66664
17,784.071,0.63259,0.18765,0.30652,/workspace/data/lf/curves/vi_curve_00017.csv,786.506,0.66695
18,717.758,0.72996,0.11199,0.36074,/workspace/data/lf/curves/vi_curve_00018.csv,720.826,0.72538
19,780.841,0.89560,0.46756,0.34175,/workspace/data/lf/curves/vi_curve_00019.csv,782.979,0.63398
20,850.163,0.70045,0.58771,0.39174,/workspace/data/lf/curves/vi_curve_00020.csv,855.513,0.68441
21,783.808,0.81532,1.05067,0.31163,/workspace/data/lf/curves/vi_curve_00021.csv,784.636,0.64717
22,746.993,0.62351,1.33047,0.21715,/workspace/data/lf/curves/vi_curve_00022.csv,746.483,0.59368
23,729.228,0.79678,1.38215,0.43284,/workspace/data/lf/curves/vi_curve_00023.csv,731.082,0.63840
24,777.852,0.63794,1.46490,0.35513,/workspace/data/lf/curves/vi_curve_00024.csv,777.811,0.59427
25,777.249,0.61862,0.29042,0.40053,/workspace/data/lf/curves/vi_curve_00025.csv,775.257,0.65314
26,769.908,0.86132,1.13623,0.49413,/workspace/data/lf/curves/vi_curve_00026.csv,770.954,0.61443
27,858.222,0.60848,0.83023,0.46142,/workspace/data/lf/curves/vi_curve_00027.csv,858.838,0.61467
28,802.944,0.64121,0.80017,0.36364,/workspace/data/lf/curves/vi_curve_00028.csv,801.766,0.63612
29,768.016,0.68153,0.80882,0.26098,/workspace/data/lf/curves/vi_curve_00029.csv,772.554,0.65979
30,764.411,0.71945,1.41357,0.22411,/workspace/data/lf/curves/vi_curve_00030.csv,766.860,0.64626
31,899.053,0.86724,0.37183,0.36939,/workspace/data/lf/curves/vi_curve_00031.csv,900.903,0.65674
32,717.020,0.69511,0.57760,0.36130,/workspace/data/lf/curves/vi_curve_00032.csv,721.477,0.68181
33,806.837,0.83582,0.77754,0.41917,/workspace/data/lf/curves/vi_curve_00033.csv,806.752,0.65125
34,855.391,0.67706,1.26589,0.37338,/workspace/data/lf/curves/vi_curve_00034.csv,855.633,0.62968
35,744.830,0.75038,0.27655,0.39043,/workspace/data/lf/curves/vi_curve_00035.csv,745.482,0.73258
36,879.654,0.83716,0.95282,0.34834,/workspace/data/lf/curves/vi_curve_00036.csv,880.973,0.63994
