year,state,species,headcount,manure_tonnes_per_day,biogas_potential_nm3_per_day,provenance,sources
2023,Abia,cattle,567301,14182.5,329367.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Abia,goats,655691,1311.4,24713.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Abia,sheep,592721,1481.8,26947.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Abia,pigs,472765,2127.4,73954.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Abia,poultry,265054,45.1,2162.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Adamawa,cattle,122578,3064.4,61361.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Adamawa,goats,407642,815.3,15206.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Adamawa,sheep,347554,868.9,18166.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Adamawa,pigs,130480,587.2,19405.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Adamawa,poultry,330066,56.1,2324.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Akwa Ibom,cattle,96464,2411.6,50688.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Akwa Ibom,goats,969895,1939.8,35879.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Akwa Ibom,sheep,1024755,2561.9,52824.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Akwa Ibom,pigs,667136,3002.1,87736.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Akwa Ibom,poultry,450161,76.5,3239.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Anambra,cattle,455991,11399.8,222585.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Anambra,goats,646553,1293.1,26686.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Anambra,sheep,420483,1051.2,21041.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
