year,state,crop,crop_production_tonnes,residue_tonnes,recoverable_residue_tonnes,lhv_mj_per_kg,energy_potential_mwh,provenance,sources
2023,Abia,maize,367928.0,99340.0,60165.0,17.0,284113.4,synthetic_estimate,FAO; NBS; FMARD; literature on RPR
2023,Abia,rice,486953.0,111999.0,69421.0,15.0,289254.8,synthetic_estimate,FAO; NBS; FMARD; literature on RPR
2023,Abia,cassava,412327.0,103082.0,59620.0,14.0,231856.2,synthetic_estimate,FAO; NBS; FMARD; literature on RPR
2023,Abia,sorghum,175059.0,43765.0,22112.0,16.0,98276.2,synthetic_estimate,FAO; NBS; FMARD; literature on RPR
2023,Abia,sugarcane,182796.0,54839.0,33548.0,9.0,83869.4,synthetic_estimate,FAO; NBS; FMARD; literature on RPR
2023,Adamawa,maize,617499.0,166725.0,107420.0,17.0,507261.9,synthetic_estimate,FAO; NBS; FMARD; literature on RPR
2023,Adamawa,rice,433429.0,99689.0,64202.0,15.0,267510.3,synthetic_estimate,FAO; NBS; FMARD; literature on RPR
2023,Adamawa,cassava,468682.0,117171.0,71351.0,14.0,277474.7,synthetic_estimate,FAO; NBS; FMARD; literature on RPR
2023,Adamawa,sorghum,383383.0,95846.0,57048.0,16.0,253544.7,synthetic_estimate,FAO; NBS; FMARD; literature on RPR
2023,Adamawa,sugarcane,210337.0,63101.0,33463.0,9.0,83658.7,synthetic_estimate,FAO; NBS; FMARD; literature on RPR
2023,Akwa Ibom,maize,302765.0,81746.0,50758.0,17.0,239688.8,synthetic_estimate,FAO; NBS; FMARD; literature on RPR
2023,Akwa Ibom,rice,579504.0,133286.0,76797.0,15.0,319987.1,synthetic_estimate,FAO; NBS; FMARD; literature on RPR
2023,Akwa Ibom,cassava,656717.0,164179.0,87114.0,14.0,338777.9,synthetic_estimate,FAO; NBS; FMARD; literature on RPR
2023,Akwa Ibom,sorghum,371688.0,92922.0,58141.0,16.0,258403.3,synthetic_estimate,FAO; NBS; FMARD; literature on RPR
2023,Akwa Ibom,sugarcane,418449.0,125535.0,61488.0,9.0,153718.9,synthetic_estimate,FAO; NBS; FMARD; literature on RPR
2023,Anambra,maize,407256.0,109959.0,59502.0,17.0,280982.3,synthetic_estimate,FAO; NBS; FMARD; literature on RPR
2023,Anambra,rice,433354.0,99671.0,60657.0,15.0,252739.4,synthetic_estimate,FAO; NBS; FMARD; literature on RPR
