participant_id,Intention_T1,SRB1,SRB2,SRB3,SRB4,SRB5,SRB_Mean,Objective_Q1_Choice,Objective_Q1_Score,Objective_Q2_Choice,Objective_Q2_Score,Objective_Q3_Choice,Objective_Q3_Score,Objective_Q4_Choice,Objective_Q4_Score,Objective_Q5_Choice,Objective_Q5_Score,Objective_Score_Total,Objective_Score_Percent,Intention_Behavior_Gap
1,3.78,3,3,4,3,5,3.6,b,2,a,0,c,1,b,2,b,2,7,70.0,-0.3135
2,3.11,4,5,5,5,6,5.0,b,2,b,2,b,2,b,2,b,2,10,100.0,1.3499
3,3.23,1,4,2,3,3,2.6,a,0,a,0,b,2,a,0,a,0,2,20.0,-1.0992
4,5.48,6,5,6,6,5,5.6,b,2,b,2,b,2,b,2,b,2,10,100.0,1.0225
5,5.23,5,4,3,4,4,4.0,b,2,c,1,c,1,c,1,b,2,7,70.0,-0.4795
6,5.41,4,6,6,6,7,5.8,b,2,c,1,b,2,b,2,c,1,8,80.0,1.2517
7,3.36,3,3,1,3,2,2.4,a,0,a,0,a,0,c,1,a,0,1,10.0,-1.348
8,5.13,5,6,5,5,6,5.4,b,2,c,1,b,2,b,2,b,2,9,90.0,0.9593
9,3.51,5,6,5,6,4,5.2,b,2,a,0,b,2,b,2,b,2,8,80.0,1.3912
10,4.07,4,5,5,6,4,4.8,a,0,b,2,c,1,b,2,c,1,6,60.0,0.775
11,4.91,5,5,5,6,6,5.4,b,2,b,2,b,2,b,2,b,2,10,100.0,1.0456
12,4.1,2,3,3,2,4,2.8,b,2,a,0,b,2,b,2,c,1,7,70.0,-1.236
13,2.63,2,4,2,3,4,3.0,a,0,a,0,a,0,b,2,c,1,3,30.0,-0.4635
14,3.37,2,4,4,4,3,3.4,b,2,c,1,b,2,b,2,b,2,9,90.0,-0.3532
15,5.16,5,5,5,5,5,5.0,b,2,a,0,b,2,a,0,a,0,4,40.0,0.5488
16,5.16,5,4,4,5,7,5.0,b,2,b,2,a,0,b,2,b,2,8,80.0,0.549
17,3.34,4,4,5,4,4,4.2,b,2,b,2,b,2,b,2,b,2,10,100.0,0.4582
18,3.87,3,4,4,3,4,3.6,a,0,b,2,a,0,a,0,a,0,2,20.0,-0.3464
19,3.89,3,4,3,4,4,3.6,a,0,a,0,b,2,b,2,a,0,4,40.0,-0.3547
20,3.48,4,4,5,5,4,4.4,c,1,a,0,a,0,a,0,b,2,3,30.0,0.6058
