site_name,latitude,longitude,avg_flared_mscf_per_day,state_guess
Escravos,5.605,5.198,76035,Delta
Forcados,5.3,5.45,9409,Delta
Bonny,4.457,7.17,114781,Rivers
Brass,4.318,6.241,109473,Rivers
Ebocha,5.558,6.666,40719,Rivers
Ughelli,5.493,6.006,41709,Rivers
Ogbogu,5.288,6.604,56548,Rivers
Utorogu,5.416,5.871,15701,Delta
Agbada,4.963,6.4,78585,Rivers
Nembe,4.536,6.404,107767,Rivers
Obite,4.965,6.656,70039,Rivers
Soku,4.625,6.701,74215,Rivers
Bonga Offshore,4.25,5.2,44168,Delta
Akpo Offshore,4.3,5.7,5797,Delta
Egina Offshore,4.35,6.0,49926,Delta
