power_rating_kw,operating_temperature_c,operating_pressure_bar,fuel_flow_rate_m3_h,air_flow_rate_m3_h,steam_carbon_ratio,temperature_control_accuracy_c,pressure_control_accuracy_bar,flow_control_accuracy_percent,max_operating_temperature_c,min_operating_temperature_c,max_operating_pressure_bar,min_operating_pressure_bar,electrical_efficiency_percent,thermal_efficiency_percent,fuel_utilization_percent,air_utilization_percent,inspection_interval_hours,major_overhaul_interval_hours,stack_replacement_interval_hours,startup_time_minutes,shutdown_time_minutes,load_following_capability_percent_min
1,789.4,2.22,0.82,5.12,2.6,2.9,0.18,3.5,839.4,689.4,3.33,1.78,54.0,25.2,83.4,19.0,3379.0,26378.0,62065.0,37.4,41.4,7.4
5,814.1,2.06,4.01,26.53,2.57,3.2,0.15,4.1,864.1,714.1,3.09,1.65,51.2,28.4,78.3,23.1,2220.0,21425.0,59130.0,101.1,15.0,7.5
10,760.3,1.27,11.17,74.25,2.85,4.3,0.22,3.5,810.3,660.3,1.91,1.02,57.7,29.1,82.3,22.6,2011.0,23798.0,67144.0,36.2,55.4,4.7
25,763.0,2.36,21.33,131.91,2.22,3.5,0.18,5.0,813.0,663.0,3.54,1.89,56.4,25.4,81.0,16.8,3447.0,32594.0,45223.0,69.6,31.5,3.6
50,755.5,2.17,43.05,338.26,2.5,4.6,0.25,2.8,805.5,655.5,3.25,1.74,56.3,33.4,75.6,16.7,3996.0,38900.0,77136.0,56.0,40.3,6.0
100,834.4,1.11,100.6,692.84,2.03,2.8,0.17,2.2,884.4,734.4,1.66,0.88,53.6,27.7,78.5,19.1,3848.0,36208.0,75580.0,41.2,58.9,5.5
250,849.3,1.8,225.0,1463.08,2.89,3.6,0.27,3.4,899.3,749.3,2.7,1.44,53.3,31.4,84.1,16.5,3395.0,28577.0,73880.0,101.3,54.3,7.1
500,811.9,2.38,427.55,2765.62,2.5,4.8,0.19,4.1,861.9,711.9,3.58,1.91,54.2,33.2,75.7,15.3,2546.0,34818.0,68013.0,51.3,50.9,5.2
1000,804.5,2.35,1034.08,7760.93,2.61,2.0,0.22,4.0,854.5,704.5,3.52,1.88,58.5,32.1,75.7,23.5,2934.0,23400.0,50578.0,96.9,33.9,3.3
2000,787.6,2.41,1742.82,11277.89,2.25,4.1,0.12,2.0,837.6,687.6,3.62,1.93,53.2,33.0,84.3,19.8,3089.0,39150.0,73205.0,105.6,16.0,7.2
5000,758.0,2.41,4842.38,34702.59,2.23,3.9,0.26,2.3,808.0,658.0,3.61,1.93,54.1,33.9,83.0,16.7,2789.0,20189.0,42890.0,82.6,35.5,2.4
