load_percentage,ht_sofc_efficiency_lhv,it_sofc_efficiency_lhv,lt_sofc_efficiency_lhv,operating_temperature_ht,operating_temperature_it,operating_temperature_lt,pressure_bar
20,52.22,44.41,38.69,894.4601929901635,613.1165951759123,581.2211286678875,1.233796115264786
25,52.77,45.01,39.36,889.3262381642553,693.5026716059443,671.753358823551,1.0596456769572664
30,53.31,45.61,40.03,871.3699907016513,715.9076837629319,692.4662435953861,1.3183155287335682
35,53.84,46.2,40.7,977.9676727808474,750.4974142007763,565.4176745667482,1.3589574177413788
40,54.38,46.79,41.36,888.1614967384313,636.0981405764309,656.3411490423522,2.1642147935510625
45,54.9,47.38,42.03,987.0384772524208,619.06328299335,592.8731323932133,2.0451035820389
50,55.41,47.96,42.69,991.0431971968324,797.5687029223766,581.210748974059,1.7698417181475596
55,55.92,48.54,43.35,897.9736118151463,730.9337936045151,578.1198886947886,2.5269990325173075
60,56.42,49.11,44.0,863.699872094573,604.0679227174298,541.3503352483098,1.3681186332399842
65,56.91,49.68,44.66,950.1838567576742,683.0165894610885,611.9993726365859,2.526504294115526
70,57.38,50.24,45.31,885.6755367171766,741.1433807467124,588.1448321865001,1.6447484388447897
75,57.85,50.8,45.95,842.506745058702,721.927610148063,511.5309841935725,2.265398948929459
80,58.3,51.35,46.59,886.7068860119989,649.2496856477761,688.5311627515292,2.812702267596749
85,58.74,51.89,47.23,916.2028364576867,763.2295341914523,625.2084620511533,2.2170746272955073
90,59.18,52.43,47.87,919.5272796402306,754.6207064136308,580.5603783395277,2.6510055886652557
95,59.59,52.96,48.5,904.2378853239359,622.0799513896341,513.8115697735986,2.6369425926826007
100,60.0,53.48,49.13,830.3924083000122,665.3028834076281,518.5017182110823,2.8122444152517208
