year,gdp_growth_pct,inflation_pct,lending_rate_pct,mobile_money_adoption_pct,itu_idi_index
2005,6.43851652538319,,17.94833333,3.31,2.82
2006,6.05942803202912,8.22522152017049,16.89333333,2.0,2.69
2007,6.59113036068734,5.38800796858628,16.93916667,2.0,2.89
2008,6.7644727778017,11.5810751748252,15.13583333,2.8,3.52
2009,8.03692510099067,12.5378277304689,18.99083333,2.26,3.52
2010,8.00565591628646,13.7400521363694,17.585,6.53,3.32
2011,5.30792420289512,10.8261371880017,16.02,7.09,4.31
2012,4.23006117493168,12.2242413020584,16.79166667,2.47,4.29
2013,6.67133539306172,8.49551838265672,16.7225,14.44,4.4
2014,6.30971865525467,8.04741087967908,16.54833333,16.26,5.38
2015,2.65269329543003,9.00943498007703,16.84916667,21.14,5.27
2016,-1.61686894906529,15.6968126387972,16.86801576,30.14,5.21
2017,0.80588661910221,16.5022662139641,17.55333333,37.86,5.65
2018,1.92275734200651,12.0951065173432,16.90389696,46.26,5.89
2019,2.20842927714881,11.3964223378115,15.37658698,52.26,5.49
2020,-1.79425308274458,13.2460234276598,13.64202167,52.05,5.84
2021,3.64718654072446,16.9528457221608,11.48313279,68.78,6.19
2022,3.25168140827093,18.8471877843274,12.33454424,70.53,7.12
2023,2.86021499108364,24.6595502031139,14.01055373,67.41,6.55
2024,3.42643947135149,33.2420966545405,,76.02,7.22
