date,field_name,proven_reserves_tcf,probable_reserves_tcf,total_reserves_tcf,daily_production_mmscf,monthly_production_mmscf,associated_gas_ratio,gas_quality,methane_content_percent,ethane_content_percent,propane_content_percent,co2_content_percent,h2s_content_ppm,heating_value_btu_per_scf,latitude,longitude,production_cost_usd_per_mscf,wellhead_pressure_psi,water_content_ppm
2020-01-01,Niger Delta,120.0,80.0,200.0,2456.48,73694.28,0.7,sweet,89.19060938937926,4.624074561769746,1.3119890406724053,1.116167224336399,8.661761457749352,1060.111501174321,5.5,6.0,0.83,814.4091460070617,195.48647782429916
2020-01-01,Offshore Deep Water,85.0,120.0,205.0,1368.01,41040.37,0.4,sweet,86.28383156897404,5.216968971838151,2.049512863264476,1.8638900372842315,2.9122914019804194,1061.1852894722379,4.0,5.5,2.32,1004.5012539746527,104.95427649405376
2020-01-01,Anambra Basin,15.0,25.0,40.0,202.42,6072.53,0.2,sour,84.11387550730889,4.777243706586127,1.0464504127199978,6.037724259507192,126.73585565928119,956.5051592985279,6.2,7.1,1.31,1475.9424231521916,171.25960221746917
2020-01-01,Chad Basin,8.0,15.0,23.0,77.01,2310.39,0.6,sweet,88.08106745617721,4.488152939379115,1.9903538202225404,1.0687770422304368,9.093204020787821,1025.8779981600017,12.0,13.5,1.86,1018.1977532625876,128.0102031766716
2020-01-01,Benue Trough,5.0,12.0,17.0,47.14,1414.27,0.3,sweet,90.4259297635278,7.757995766256757,2.789654700855298,2.19579995762217,9.218742350231167,1008.849250205192,7.5,8.8,2.82,831.6591022373766,98.79954961448965
2020-02-01,Niger Delta,119.8,79.87,199.66,2174.32,65229.49,0.7,sweet,87.49727328685512,5.123738038749523,2.085392166316497,1.2818484499495253,8.021969807540398,1007.4550643679771,5.5,6.0,0.88,1340.5713385076601,79.80735223012586
2020-02-01,Offshore Deep Water,84.89,119.85,204.74,1498.89,44966.73,0.4,sweet,90.10305017628691,7.0850813867437825,1.1480893034681807,1.7169314570885452,1.1586905952512971,1086.3103425875593,4.0,5.5,2.56,1031.6286173968545,59.53375254290354
2020-02-01,Anambra Basin,14.97,24.95,39.92,189.32,5679.72,0.2,sour,85.10045977084171,5.66163822772898,1.4722149251619494,3.5979712296915087,370.9601542503477,1026.0785048616897,6.2,7.1,1.21,1339.6770259681925,124.06933945465862
2020-02-01,Chad Basin,7.99,14.99,22.98,80.35,2410.45,0.6,sweet,85.75523998895314,4.125716742746937,2.272820822527561,1.6287119621526533,5.085706911647028,1090.7566473926092,12.0,13.5,1.71,1087.2680461249408,163.3326707814573
2020-02-01,Benue Trough,5.0,11.99,16.99,40.2,1205.88,0.3,sweet,86.12854901077803,7.718790609370292,2.616240759128834,2.266807513020847,8.714605901877178,1080.3672076899115,7.5,8.8,2.81,1424.7912989429844,130.9013362873476
