date,site_name,operator,latitude,longitude,daily_flaring_mmscf,monthly_flaring_mmscf,annual_flaring_bcf,co2_emissions_tonnes_per_day,energy_wasted_gj_per_day,sofc_potential_mw,distance_to_grid_km,local_power_demand_mw,flaring_efficiency_percent,gas_heating_value_btu_per_scf,regulatory_penalty_usd
2020-01-01,Escravos,Chevron,5.2,5.1,82.81,2484.17,30.22,4.56,85.87,0.54,13.337165992249567,35.07787568035327,95.87483920129434,1018.2837779868817,289.82
2020-01-01,Bonny,Shell,4.4,7.2,89.31,2679.44,32.6,4.92,92.62,0.58,46.72057018390022,97.29338728106718,97.28504187974839,1014.3001122665727,312.6
2020-01-01,Forcados,Shell,5.4,5.4,66.51,1995.32,24.28,3.66,68.97,0.43,21.53258279136817,17.831549647250988,97.22713964371275,1084.5120851496035,232.79
2020-01-01,Brass,Agip,4.3,6.2,53.02,1590.59,19.35,2.92,54.98,0.34,35.274407648561,29.84538370920824,95.87283013820868,1087.4071773305186,185.57
2020-01-01,Qua Iboe,ExxonMobil,4.5,7.9,46.83,1404.82,17.09,2.58,48.56,0.3,5.02940258425848,88.36021307129658,98.17037925283654,1062.7328935090677,163.9
2020-01-01,Amenam,Total,4.7,6.8,35.84,1075.1,13.08,1.97,37.16,0.23,25.624561756440894,41.60974486139028,95.37510610502807,1048.6130485214924,125.43
2020-01-01,Okwori,Shell,5.1,6.3,37.9,1136.85,13.83,2.09,39.3,0.25,18.115741107220725,28.67868425851331,95.95258661466279,1090.8434551879375,132.63
2020-01-01,Utorogu,Shell,5.6,5.8,29.27,878.13,10.68,1.61,30.35,0.19,39.2259039104877,23.90429836044332,96.9490614164002,1042.998521412106,102.45
2020-01-01,Obite,Shell,4.8,6.9,27.81,834.35,10.15,1.53,28.84,0.18,39.62520023369212,45.807913271568445,98.31021220909619,1017.0708363312481,97.34
2020-01-01,Alakiri,Shell,4.6,7.0,16.75,502.47,6.11,0.92,17.37,0.11,20.318520025141687,55.95226817136039,97.4605165621648,1091.060571721442,58.62
2020-01-02,Escravos,Chevron,5.2,5.1,96.39,2891.72,35.18,5.31,99.96,0.63,7.260935442034196,13.142039739060143,97.20463984766549,1043.8178613248344,337.37
2020-01-02,Bonny,Shell,4.4,7.2,88.59,2657.81,32.34,4.88,91.87,0.57,6.123724795267232,50.41348911371133,95.94991422700903,1004.9614373338837,310.08
2020-01-02,Forcados,Shell,5.4,5.4,71.23,2136.92,26.0,3.92,73.87,0.46,32.37437750034972,35.29447751502002,95.6939842014201,1037.9751522919319,249.31
2020-01-02,Brass,Agip,4.3,6.2,54.32,1629.48,19.83,2.99,56.33,0.35,38.78463421449751,21.29376671192356,98.09108567866032,1023.6933324906648,190.11
2020-01-02,Qua Iboe,ExxonMobil,4.5,7.9,57.46,1723.73,20.97,3.17,59.58,0.37,46.81151227452593,44.85902661777826,95.26466075533776,1001.9155485551253,201.1
2020-01-02,Amenam,Total,4.7,6.8,38.26,1147.71,13.96,2.11,39.67,0.25,39.885982332572716,31.098304001036322,96.38033498205293,1003.0103872211319,133.9
2020-01-02,Okwori,Shell,5.1,6.3,40.95,1228.57,14.95,2.26,42.47,0.27,46.99422894916878,33.89467666861651,97.44585444490264,1067.8499968292638,143.33
2020-01-02,Utorogu,Shell,5.6,5.8,28.54,856.17,10.42,1.57,29.59,0.19,47.622265830511154,89.63696059264039,97.95626790375749,1027.7464679724953,99.89
2020-01-02,Obite,Shell,4.8,6.9,24.35,730.53,8.89,1.34,25.25,0.16,5.462802317106141,74.44449759179301,97.82498465022105,1062.2689540949798,85.23
2020-01-02,Alakiri,Shell,4.6,7.0,24.94,748.13,9.1,1.37,25.86,0.16,20.298733870696168,17.10454626519,96.77119254617494,1026.1048526234847,87.28
2020-01-03,Escravos,Chevron,5.2,5.1,93.0,2789.9,33.94,5.12,96.44,0.6,47.096803108737305,26.715976480466708,96.49003572621386,1092.8630562115395,325.49
2020-01-03,Bonny,Shell,4.4,7.2,63.88,1916.45,23.32,3.52,66.25,0.41,12.325594514280322,63.56915507141873,95.601889084024,1096.8076381450733,223.59
2020-01-03,Forcados,Shell,5.4,5.4,66.56,1996.82,24.29,3.67,69.02,0.43,16.09963771124329,52.38642271912602,97.64765453054805,1075.1177136954043,232.96
2020-01-03,Brass,Agip,4.3,6.2,54.4,1631.89,19.85,3.0,56.41,0.35,45.69618987472357,83.56670625754984,98.0281924587945,1005.5605521680461,190.39
2020-01-03,Qua Iboe,ExxonMobil,4.5,7.9,41.56,1246.69,15.17,2.29,43.09,0.27,34.85856172610535,47.007773999429126,96.60962503719725,1088.4586888229614,145.45
2020-01-03,Amenam,Total,4.7,6.8,40.69,1220.69,14.85,2.24,42.2,0.26,19.124513443176227,72.19502314653356,96.08653272509748,1019.060983307445,142.41
2020-01-03,Okwori,Shell,5.1,6.3,29.24,877.26,10.67,1.61,30.32,0.19,24.348092890091976,84.78542539495615,95.47956437389085,1073.4925847394893,102.35
2020-01-03,Utorogu,Shell,5.6,5.8,29.49,884.57,10.76,1.62,30.58,0.19,27.176881303977108,36.99478627993204,97.38432782095322,1043.3843922855244,103.2
2020-01-03,Obite,Shell,4.8,6.9,21.23,636.91,7.75,1.17,22.02,0.14,29.601305693245855,91.21717299574931,96.37583074623075,1073.3000107222624,74.31
2020-01-03,Alakiri,Shell,4.6,7.0,23.57,707.22,8.6,1.3,24.45,0.15,41.94414577846134,60.99447330149167,97.62812199293643,1089.8386466584034,82.51
