year,global_rank,sub_saharan_africa_rank,overall_score,starting_business_score,dealing_construction_permits,getting_electricity,registering_property,getting_credit,protecting_minority_investors,paying_taxes,trading_across_borders,enforcing_contracts,resolving_insolvency,regulatory_quality_index,government_effectiveness_index,corruption_perception_index,digital_readiness_score
2015,170,36,44.7,68.5,34.2,28.9,29.8,25.0,42.5,51.3,29.8,56.3,30.2,-0.92,-1.15,26,32.5
2016,169,36,46.0,70.8,35.8,30.5,31.2,30.0,48.3,47.8,27.2,58.0,30.5,-0.85,-1.09,28,34.2
2017,145,29,52.9,81.2,38.6,37.1,34.1,75.0,58.3,62.4,20.2,59.2,29.6,-0.79,-0.98,27,36.8
2018,146,29,52.9,86.2,39.5,44.3,34.7,75.0,58.3,67.3,20.0,60.0,30.2,-0.76,-0.95,27,38.5
2019,146,29,52.9,86.3,39.8,45.9,35.1,75.0,58.3,67.5,20.1,60.7,30.4,-0.73,-0.92,26,40.3
2020,131,24,56.9,93.1,49.8,56.0,40.3,80.0,68.3,77.9,30.1,73.0,30.6,-0.68,-0.89,25,42.7
2021,131,24,56.9,93.1,49.8,56.0,40.3,80.0,68.3,77.9,30.1,73.0,30.6,-0.62,-0.84,24,45.2
2022,131,24,56.9,93.1,49.8,56.0,40.3,80.0,68.3,77.9,30.1,73.0,30.6,-0.58,-0.80,24,47.8
2023,131,24,56.9,93.1,49.8,56.0,40.3,80.0,68.3,77.9,30.1,73.0,30.6,-0.54,-0.76,25,50.5
2024,129,23,57.8,93.5,50.2,57.3,41.5,82.5,69.8,78.5,31.8,74.2,31.2,-0.50,-0.72,25,53.2
COMPONENT_INDICATORS_2024,,,,,,,,,,,,,,,,
Starting_Business_Procedures,,,8,,,,,,,,,,,,,
Starting_Business_Time_Days,,,18,,,,,,,,,,,,,
Starting_Business_Cost_Income,,,27.3,,,,,,,,,,,,,
Starting_Business_Min_Capital,,,0,,,,,,,,,,,,,
Construction_Permits_Procedures,,,16,,,,,,,,,,,,,
Construction_Permits_Days,,,106,,,,,,,,,,,,,
Construction_Permits_Cost_Value,,,26.1,,,,,,,,,,,,,
Getting_Electricity_Procedures,,,8,,,,,,,,,,,,,
Getting_Electricity_Days,,,149,,,,,,,,,,,,,
Getting_Electricity_Cost_Income,,,328.7,,,,,,,,,,,,,
Electricity_Reliability_Index,,,0,,,,,,,,,,,,,
Registering_Property_Procedures,,,12,,,,,,,,,,,,,
Registering_Property_Days,,,91,,,,,,,,,,,,,
Registering_Property_Cost_Value,,,11.3,,,,,,,,,,,,,
Property_Quality_Index,,,8,,,,,,,,,,,,,
Getting_Credit_Depth_Index,,,8,,,,,,,,,,,,,
Getting_Credit_Bureau_Coverage,,,6.3,,,,,,,,,,,,,
Protecting_Investors_Disclosure,,,7,,,,,,,,,,,,,
Protecting_Investors_Director_Liability,,,7,,,,,,,,,,,,,
Protecting_Investors_Shareholder_Suits,,,7,,,,,,,,,,,,,
Protecting_Investors_Ownership_Control,,,6,,,,,,,,,,,,,
Paying_Taxes_Payments_Number,,,48,,,,,,,,,,,,,
Paying_Taxes_Time_Hours,,,366,,,,,,,,,,,,,
Paying_Taxes_Total_Rate,,,33.3,,,,,,,,,,,,,
Paying_Taxes_Post_Filing_Index,,,49.3,,,,,,,,,,,,,
Trading_Border_Export_Time_Days,,,135,,,,,,,,,,,,,
Trading_Border_Export_Cost_USD,,,1564,,,,,,,,,,,,,
Trading_Border_Import_Time_Days,,,284,,,,,,,,,,,,,
Trading_Border_Import_Cost_USD,,,1828,,,,,,,,,,,,,
Enforcing_Contracts_Time_Days,,,476,,,,,,,,,,,,,
Enforcing_Contracts_Cost_Claim,,,42,,,,,,,,,,,,,
Enforcing_Contracts_Quality_Index,,,8,,,,,,,,,,,,,
Resolving_Insolvency_Time_Years,,,2,,,,,,,,,,,,,
Resolving_Insolvency_Cost_Estate,,,22,,,,,,,,,,,,,
Resolving_Insolvency_Recovery_Rate,,,27.8,,,,,,,,,,,,,
