# SYNTHETIC/ILLUSTRATIVE DATA - NOT ACTUAL MEASUREMENTS
# Based on published literature ranges for educational purposes only
# DO NOT use directly in publications - cite original sources
Time_hours,Strain_pct_5MPa_750C,Strain_pct_10MPa_750C,Strain_pct_5MPa_800C,Strain_pct_10MPa_800C,Strain_pct_15MPa_800C,Strain_pct_10MPa_850C,Strain_pct_20MPa_850C,Strain_pct_10MPa_900C
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0165,0.0476,0.0335,0.097,0.1789,0.1648,0.3954,0.267
10,0.0225,0.0664,0.0474,0.1391,0.2601,0.2413,0.587,0.3992
15,0.0271,0.0807,0.0581,0.1717,0.3237,0.3015,0.7397,0.505
20,0.0308,0.0927,0.0671,0.1994,0.3781,0.3532,0.8715,0.5967
25,0.0341,0.1031,0.075,0.224,0.4265,0.3994,0.9897,0.6792
30,0.037,0.1126,0.0822,0.2462,0.4707,0.4415,1.098,0.755
35,0.0396,0.1212,0.0887,0.2668,0.5115,0.4806,1.1989,0.8256
40,0.0421,0.1292,0.0949,0.286,0.5498,0.5172,1.2937,0.892
45,0.0444,0.1368,0.1006,0.304,0.5859,0.5518,1.3835,0.9551
50,0.0465,0.1439,0.1061,0.3212,0.6202,0.5847,1.4692,1.0153
55,0.0486,0.1506,0.1112,0.3375,0.6529,0.6162,1.5512,1.073
60,0.0505,0.157,0.1162,0.3531,0.6843,0.6464,1.6301,1.1285
65,0.0523,0.1632,0.1209,0.3681,0.7146,0.6755,1.7062,1.1822
70,0.0541,0.1691,0.1255,0.3826,0.7437,0.7036,1.7798,1.2341
75,0.0558,0.1748,0.1299,0.3965,0.772,0.7308,1.8512,1.2845
80,0.0575,0.1803,0.1342,0.4101,0.7993,0.7572,1.9205,1.3335
85,0.0591,0.1856,0.1383,0.4232,0.8259,0.7829,1.988,1.3812
90,0.0606,0.1907,0.1423,0.436,0.8518,0.8079,2.0539,1.4277
95,0.0621,0.1958,0.1462,0.4484,0.8771,0.8323,2.1182,1.4732
100,0.0635,0.2006,0.15,0.4605,0.9017,0.8561,2.181,1.5177
105,0.065,0.2054,0.1537,0.4724,0.9258,0.8794,2.2425,1.5613
110,0.0663,0.21,0.1573,0.4839,0.9493,0.9021,2.3028,1.604
115,0.0677,0.2146,0.1609,0.4952,0.9724,0.9245,2.3619,1.6459
120,0.069,0.219,0.1643,0.5063,0.995,0.9464,2.4199,1.687
125,0.0703,0.2233,0.1677,0.5172,1.0172,0.9679,2.4768,1.7274
130,0.0715,0.2276,0.171,0.5278,1.0389,0.989,2.5328,1.7672
135,0.0727,0.2317,0.1743,0.5383,1.0603,1.0097,2.5879,1.8063
140,0.0739,0.2358,0.1775,0.5486,1.0814,1.0301,2.6421,1.8448
145,0.0751,0.2398,0.1806,0.5587,1.102,1.0502,2.6955,1.8827
150,0.0763,0.2438,0.1837,0.5686,1.1224,1.0699,2.7481,1.9201
155,0.0774,0.2476,0.1867,0.5784,1.1425,1.0894,2.7999,1.957
160,0.0785,0.2514,0.1897,0.588,1.1622,1.1086,2.8511,1.9933
165,0.0796,0.2552,0.1927,0.5975,1.1817,1.1275,2.9015,2.0292
170,0.0807,0.2588,0.1956,0.6069,1.2009,1.1462,2.9513,2.0647
175,0.0817,0.2625,0.1984,0.6161,1.2198,1.1646,3.0005,2.0997
180,0.0828,0.266,0.2012,0.6252,1.2385,1.1828,3.049,2.1343
185,0.0838,0.2696,0.204,0.6341,1.257,1.2008,3.097,2.1684
190,0.0848,0.273,0.2068,0.643,1.2752,1.2185,3.1445,2.2022
195,0.0858,0.2765,0.2095,0.6517,1.2932,1.236,3.1914,2.2357
200,0.0868,0.2798,0.2121,0.6604,1.311,1.2534,3.2378,2.2688
205,0.0878,0.2832,0.2148,0.6689,1.3286,1.2705,3.2836,2.3015
210,0.0887,0.2865,0.2174,0.6773,1.346,1.2874,3.3291,2.3339
215,0.0897,0.2897,0.2199,0.6857,1.3633,1.3042,3.374,2.3659
220,0.0906,0.2929,0.2225,0.6939,1.3803,1.3208,3.4185,2.3977
225,0.0915,0.2961,0.225,0.7021,1.3971,1.3372,3.4626,2.4292
230,0.0924,0.2993,0.2275,0.7101,1.4138,1.3535,3.5062,2.4603
235,0.0933,0.3024,0.2299,0.7181,1.4303,1.3696,3.5495,2.4912
240,0.0942,0.3054,0.2324,0.726,1.4467,1.3856,3.5923,2.5218
245,0.0951,0.3085,0.2348,0.7339,1.4629,1.4014,3.6348,2.5521
250,0.096,0.3115,0.2372,0.7416,1.4789,1.417,3.6769,2.5822
255,0.0968,0.3145,0.2395,0.7493,1.4948,1.4325,3.7186,2.6121
260,0.0977,0.3174,0.2419,0.7569,1.5106,1.4479,3.76,2.6416
265,0.0985,0.3203,0.2442,0.7644,1.5262,1.4632,3.8011,2.671
270,0.0994,0.3232,0.2465,0.7719,1.5417,1.4783,3.8418,2.7001
275,0.1002,0.3261,0.2487,0.7793,1.557,1.4933,3.8822,2.729
280,0.101,0.3289,0.251,0.7866,1.5723,1.5082,3.9223,2.7577
285,0.1018,0.3317,0.2532,0.7939,1.5874,1.5229,3.962,2.7861
290,0.1026,0.3345,0.2554,0.8011,1.6023,1.5375,4.0015,2.8144
295,0.1034,0.3372,0.2576,0.8083,1.6172,1.5521,4.0407,2.8424
300,0.1042,0.34,0.2598,0.8154,1.6319,1.5665,4.0796,2.8702
305,0.105,0.3427,0.262,0.8224,1.6466,1.5808,4.1182,2.8979
310,0.1057,0.3454,0.2641,0.8294,1.6611,1.595,4.1566,2.9254
315,0.1065,0.348,0.2662,0.8363,1.6755,1.6091,4.1946,2.9526
320,0.1073,0.3507,0.2683,0.8432,1.6898,1.6231,4.2325,2.9797
325,0.108,0.3533,0.2704,0.85,1.704,1.637,4.27,3.0066
330,0.1087,0.3559,0.2725,0.8568,1.7181,1.6508,4.3073,3.0334
335,0.1095,0.3585,0.2745,0.8635,1.7321,1.6645,4.3444,3.06
340,0.1102,0.361,0.2766,0.8702,1.7461,1.6781,4.3813,3.0864
345,0.1109,0.3636,0.2786,0.8768,1.7599,1.6916,4.4179,3.1126
350,0.1117,0.3661,0.2806,0.8834,1.7736,1.7051,4.4543,3.1387
355,0.1124,0.3686,0.2826,0.89,1.7872,1.7184,4.4904,3.1646
360,0.1131,0.3711,0.2846,0.8965,1.8008,1.7317,4.5264,3.1904
365,0.1138,0.3735,0.2866,0.9029,1.8143,1.7449,4.5621,3.216
370,0.1145,0.376,0.2885,0.9093,1.8276,1.758,4.5976,3.2415
375,0.1152,0.3784,0.2905,0.9157,1.8409,1.771,4.6329,3.2668
380,0.1159,0.3808,0.2924,0.922,1.8541,1.784,4.668,3.292
385,0.1166,0.3832,0.2943,0.9283,1.8673,1.7969,4.7029,3.3171
390,0.1172,0.3856,0.2962,0.9346,1.8803,1.8096,4.7377,3.342
395,0.1179,0.388,0.2981,0.9408,1.8933,1.8224,4.7722,3.3668
400,0.1186,0.3903,0.3,0.9469,1.9062,1.835,4.8065,3.3914
405,0.1192,0.3926,0.3019,0.9531,1.9191,1.8476,4.8407,3.416
410,0.1199,0.395,0.3037,0.9592,1.9318,1.8601,4.8747,3.4404
415,0.1206,0.3973,0.3056,0.9652,1.9445,1.8726,4.9085,3.4646
420,0.1212,0.3996,0.3074,0.9713,1.9571,1.8849,4.9421,3.4888
425,0.1219,0.4018,0.3092,0.9773,1.9697,1.8972,4.9755,3.5128
430,0.1225,0.4041,0.311,0.9832,1.9821,1.9095,5.0088,3.5367
435,0.1231,0.4063,0.3128,0.9892,1.9946,1.9217,5.0419,3.5605
440,0.1238,0.4086,0.3146,0.995,2.0069,1.9338,5.0749,3.5842
445,0.1244,0.4108,0.3164,1.0009,2.0192,1.9458,5.1077,3.6078
450,0.125,0.413,0.3182,1.0067,2.0314,1.9578,5.1403,3.6312
455,0.1257,0.4152,0.32,1.0125,2.0436,1.9698,5.1728,3.6546
460,0.1263,0.4174,0.3217,1.0183,2.0557,1.9816,5.2051,3.6778
465,0.1269,0.4196,0.3235,1.0241,2.0677,1.9935,5.2373,3.7009
470,0.1275,0.4217,0.3252,1.0298,2.0797,2.0052,5.2693,3.724
475,0.1281,0.4239,0.3269,1.0355,2.0916,2.0169,5.3012,3.7469
480,0.1287,0.426,0.3286,1.0411,2.1034,2.0286,5.3329,3.7697
485,0.1293,0.4281,0.3303,1.0467,2.1153,2.0402,5.3645,3.7924
490,0.1299,0.4302,0.332,1.0523,2.127,2.0517,5.396,3.8151
495,0.1305,0.4323,0.3337,1.0579,2.1387,2.0632,5.4273,3.8376
500,0.1311,0.4344,0.3354,1.0634,2.1503,2.0746,5.4585,3.86
