# SYNTHETIC/ILLUSTRATIVE DATA - NOT ACTUAL MEASUREMENTS
# Based on published literature ranges for educational purposes only
# DO NOT use directly in publications - cite original sources
Ref_ID,Authors,Year,Title,Journal_Source,DOI_or_URL,Data_Type
REF01,"Atkinson, A., Selçuk, A.",2004,Mechanical behaviour of ceramic oxygen ion-conducting membranes,"Solid State Ionics, 134(1-2), pp.59-66",10.1016/j.ssi.2004.01.004,YSZ mechanical properties
REF02,"Laurencin, J., et al.",2008,Creep behaviour of porous SOFC electrodes,"Journal of Power Sources, 177(2), pp.456-467",10.1016/j.jpowsour.2008.02.103,Ni-YSZ creep parameters
REF03,"Nakajo, A., et al.",2012,Thermo-mechanical modeling of SOFC stacks,"Journal of Power Sources, 213, pp.187-198",10.1016/j.jpowsour.2012.01.114,Thermal stress analysis
REF04,"Malzbender, J., Steinbrech, R.W.",2009,Review of SOFC component properties,"Ceramics International, 35(4), pp.1565-1578",10.1016/j.ceramint.2008.11.005,Comprehensive material properties
REF05,"Yakabe, H., et al.",2001,Temperature distribution in planar SOFC stacks,"Journal of Power Sources, 102(1-2), pp.144-154",10.1016/S0378-7753(01)00610-2,Temperature distribution
REF06,"Selimovic, A., et al.",2005,Thermal cycling effects on SOFC degradation,"Journal of Power Sources, 145(2), pp.463-469",10.1016/j.jpowsour.2004.10.012,Thermal cycling
REF07,"Lin, C.K., et al.",2009,Residual stress in SOFC measured by XRD,"Acta Materialia, 57(13), pp.3978-3987",10.1016/j.actamat.2009.05.018,Residual stress measurements
REF08,"Pihlatie, M., et al.",2009,Mechanical degradation of Ni-YSZ under redox cycling,"Journal of Power Sources, 193(1), pp.322-332",10.1016/j.jpowsour.2009.01.021,Redox cycling effects
REF09,"Menzler, N.H., et al.",2010,LSCF cathode material characterization,"Journal of Power Sources, 195(16), pp.5320-5325",10.1016/j.jpowsour.2010.06.042,LSCF properties
REF10,"Quadakkers, W.J., et al.",2007,Crofer 22 APU interconnect characterization,"Materials Science and Engineering: A, 480(1-2), pp.483-492",10.1016/j.msea.2006.11.127,Interconnect properties
REF11,"Ni, M., Leung, M.K.H., Leung, D.Y.C.",2007,Electrochemical modeling of SOFC button cells,"Journal of the Electrochemical Society, 154(4), pp.B385-B392",10.1149/1.2789389,Electrochemical modeling
REF12,"Zhu, H., Kee, R.J.",2003,Modeling polarization curves for SOFC,"Journal of Power Sources, 117(1-2), pp.61-74",10.1016/S0378-7753(03)00742-6,Polarization modeling
REF13,"Hagen, A., et al.",2006,SOFC degradation mechanisms,"Journal of Power Sources, 161(1), pp.30-38",10.1016/j.jpowsour.2006.04.080,Degradation mechanisms
REF14,"Sun, C., Stimming, U.",2007,Recent advances in SOFC materials,"Journal of Power Sources, 171(2), pp.247-260",10.1016/j.jpowsour.2006.12.017,SOFC materials review
