# SYNTHETIC/ILLUSTRATIVE DATA - NOT ACTUAL MEASUREMENTS
# Based on published literature ranges for educational purposes only
# DO NOT use directly in publications - cite original sources
Material,Temperature_C,Thermal_Conductivity_W_per_mK,Specific_Heat_J_per_kgK,CTE_1e-6_per_K,Density_kg_per_m3
8YSZ,25,2.0,456.0,10.3,5900
8YSZ,50,2.01,458.2,10.34,5900
8YSZ,75,2.02,460.3,10.39,5900
8YSZ,100,2.03,462.5,10.43,5900
8YSZ,125,2.04,464.6,10.47,5900
8YSZ,150,2.05,466.8,10.52,5900
8YSZ,175,2.06,468.9,10.56,5900
8YSZ,200,2.07,471.1,10.61,5900
8YSZ,225,2.08,473.2,10.65,5900
8YSZ,250,2.09,475.4,10.69,5900
8YSZ,275,2.1,477.5,10.74,5900
8YSZ,300,2.11,479.7,10.78,5900
8YSZ,325,2.12,481.8,10.82,5900
8YSZ,350,2.13,484.0,10.87,5900
8YSZ,375,2.14,486.2,10.91,5900
8YSZ,400,2.15,488.3,10.95,5900
8YSZ,425,2.16,490.5,11.0,5900
8YSZ,450,2.17,492.6,11.04,5900
8YSZ,475,2.18,494.8,11.08,5900
8YSZ,500,2.19,496.9,11.13,5900
8YSZ,525,2.21,499.1,11.17,5900
8YSZ,550,2.22,501.2,11.22,5900
8YSZ,575,2.23,503.4,11.26,5900
8YSZ,600,2.24,505.5,11.3,5900
8YSZ,625,2.25,507.7,11.35,5900
8YSZ,650,2.26,509.8,11.39,5900
8YSZ,675,2.27,512.0,11.43,5900
8YSZ,700,2.28,514.2,11.48,5900
8YSZ,725,2.29,516.3,11.52,5900
8YSZ,750,2.3,518.5,11.56,5900
8YSZ,775,2.31,520.6,11.61,5900
8YSZ,800,2.32,522.8,11.65,5900
8YSZ,825,2.33,524.9,11.69,5900
8YSZ,850,2.34,527.1,11.74,5900
8YSZ,875,2.35,529.2,11.78,5900
8YSZ,900,2.36,531.4,11.83,5900
8YSZ,925,2.37,533.5,11.87,5900
8YSZ,950,2.38,535.7,11.91,5900
8YSZ,975,2.39,537.8,11.96,5900
8YSZ,1000,2.4,540.0,12.0,5900
GDC,25,5.5,390.0,11.8,7220
GDC,50,5.42,394.4,11.83,7220
GDC,75,5.35,398.7,11.87,7220
GDC,100,5.27,403.1,11.9,7220
GDC,125,5.19,407.4,11.93,7220
GDC,150,5.12,411.8,11.97,7220
GDC,175,5.04,416.2,12.0,7220
GDC,200,4.96,420.5,12.03,7220
GDC,225,4.88,424.9,12.07,7220
GDC,250,4.81,429.2,12.1,7220
GDC,275,4.73,433.6,12.13,7220
GDC,300,4.65,437.9,12.17,7220
GDC,325,4.58,442.3,12.2,7220
GDC,350,4.5,446.7,12.23,7220
GDC,375,4.42,451.0,12.27,7220
GDC,400,4.35,455.4,12.3,7220
GDC,425,4.27,459.7,12.33,7220
GDC,450,4.19,464.1,12.37,7220
GDC,475,4.12,468.5,12.4,7220
GDC,500,4.04,472.8,12.43,7220
GDC,525,3.96,477.2,12.47,7220
GDC,550,3.88,481.5,12.5,7220
GDC,575,3.81,485.9,12.53,7220
GDC,600,3.73,490.3,12.57,7220
GDC,625,3.65,494.6,12.6,7220
GDC,650,3.58,499.0,12.63,7220
