Temperature_C,CTE_per_K,Youngs_Modulus_GPa,Poisson_Ratio,Shear_Viscosity_Pa_s,Density_g_cm3,Material,Composition
20.0,1.1024080066713133e-05,206.8249330522932,0.31297202542898417,,6.025457860405098,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
33.93939393939394,1.0914947193363632e-05,228.25893233760263,0.3062252439389414,,6.02336520780427,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
47.878787878787875,1.0588960775032276e-05,224.93960051311805,0.3142095241688378,,5.976631251971976,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
61.81818181818182,1.078540836618918e-05,192.14922873985483,0.310700103456363,,6.177795930730229,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
75.75757575757575,1.085670828417174e-05,205.0672375958249,0.31230194104306297,,6.0306903109538865,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
89.6969696969697,1.0935540191639771e-05,206.5226215421998,0.29781502359013595,,6.065323283840306,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
103.63636363636364,1.0953147170580207e-05,203.32234186954543,0.3141351108147463,,6.192986218307393,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
117.57575757575758,1.1017324035362798e-05,196.0549217549172,0.314364093749077,,6.023309819798517,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
131.5151515151515,1.1100002182452778e-05,216.72397450720973,0.3123127422238243,,6.052384858737989,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
145.45454545454544,1.1502268078901945e-05,217.81558707507034,0.3075439397242567,,5.9915994338956855,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
159.3939393939394,1.0682027775973162e-05,213.9673545351289,0.311271067925088,,6.138210611215328,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
173.33333333333334,1.1079389382993766e-05,219.26811786536783,0.3139861516925413,,6.063528467543511,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
187.27272727272728,1.1382397716624098e-05,216.32984630726946,0.3084870736566429,,6.082622115301431,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
