sample_id,effective_energy_j,energy_density_j_mm2,peak_temperature_c,fused_area_mm2,nugget_diameter_mm,porosity_pct,spatter_mass_mg,intermetallic_thickness_um,hardness_hv,bond_integrity_score,immediate_shear_strength_n,joint_resistance_mohm
1,355.624449,22.945334,46117.666,15.49877,4.442257,35.0,25.0,11.637152,350.0,0.0,487.108693,6.245544
2,210.060233,6.168179,11483.623,31.761782,6.359273,21.558555,2.229281,2.427631,338.25553,0.550372,1760.278435,2.719516
3,2613.613032,52.486133,167525.748,49.796258,7.962573,35.0,25.0,12.0,350.0,0.0,1412.568446,3.709435
4,5957.083844,101.207143,117179.854,58.86031,8.656978,35.0,25.0,12.0,350.0,0.0,1638.357995,8.619559
5,2516.397145,40.550557,64871.452,54.240881,8.310333,35.0,25.0,7.959271,350.0,0.0,1510.312,3.145369
6,217.120606,8.587242,11719.383,24.835707,5.623327,35.0,8.855124,6.133535,350.0,0.0,737.474373,3.750054
7,259.947638,7.444957,18904.418,34.915937,6.66756,35.0,4.415508,4.809341,350.0,0.200872,1182.473016,3.207006
8,6972.04918,181.942395,265091.783,38.320091,6.985031,35.0,25.0,12.0,350.0,0.0,1092.533572,3.294435
9,4119.164719,68.274789,108273.297,56.376927,8.472387,35.0,25.0,12.0,350.0,0.0,1591.155955,3.382678
10,4261.037593,96.963023,226375.831,43.719768,7.460948,35.0,25.0,12.0,350.0,0.0,1213.083179,7.513373
11,241.313415,12.792226,12815.511,18.864068,4.900865,35.0,25.0,6.258382,350.0,0.000777,580.045157,18.080928
12,6370.150393,233.76351,452427.231,27.250405,5.890356,35.0,25.0,12.0,350.0,0.0,806.602373,13.051389
13,484.105317,68.814204,219938.93,7.034962,2.992857,35.0,25.0,9.798958,350.0,0.0,256.611669,6.801907
14,486.953265,22.362522,41510.741,21.458011,5.226967,35.0,25.0,10.559989,350.0,0.0,623.344005,4.988876
15,389.249866,21.739627,42012.322,17.905085,4.774669,35.0,25.0,12.0,350.0,0.0,527.220781,5.517219
16,153.238709,5.000725,8127.942,27.797698,5.949212,13.366436,2.13103,3.660793,285.397986,0.523658,1247.405721,2.635252
17,2599.866304,79.775186,130878.145,32.589912,6.441643,35.0,25.0,12.0,350.0,0.0,914.181414,3.930509
18,3098.12031,93.529023,151860.897,33.124695,6.49428,35.0,25.0,12.0,350.0,0.0,959.394084,8.958336
19,123.660456,3.495822,8876.436,32.014795,6.384552,5.172172,0.0,1.72295,276.810215,0.710403,1769.133897,2.248037
20,3825.870885,93.369607,136534.72,40.828406,7.210017,35.0,25.0,12.0,350.0,0.0,1133.411926,4.445678
21,10736.290383,210.470789,243658.9,51.010834,8.059095,35.0,25.0,12.0,350.0,0.0,1419.982961,3.234853
22,283.895838,15.651965,51860.387,17.157919,4.673986,35.0,25.0,9.335676,350.0,0.0,518.295625,4.4037
23,331.176658,4.430105,8976.146,69.166233,9.384305,8.65444,0.687661,0.262125,261.873664,0.715871,2926.964383,1.345218
24,2783.40703,53.431749,90859.453,52.092755,8.144112,35.0,25.0,12.0,350.0,0.0,1457.63393,3.481276
25,1232.475231,33.105466,65574.289,37.228754,6.884847,35.0,25.0,12.0,350.0,0.0,1043.59856,12.904466
26,7344.912127,112.369781,110645.747,62.842726,8.945046,35.0,25.0,12.0,350.0,0.0,1750.521047,3.172743
27,99.103521,5.229602,10369.312,17.053971,4.659806,10.9049,0.376572,3.526173,329.031943,0.609435,829.459706,3.722603
28,151.804934,13.201724,90254.236,11.120329,3.762824,35.0,25.0,8.108879,350.0,0.0,367.680708,4.752878
29,533.996905,35.941808,55656.213,13.821682,4.195034,35.0,25.0,8.851057,350.0,0.0,436.625302,4.296675
30,126.059262,1.529498,2835.086,48.945188,7.894235,9.656463,0.0,0.518156,142.304202,0.457461,2229.468583,1.612383
31,26893.846777,518.661009,1079711.537,51.15284,8.070305,35.0,25.0,12.0,350.0,0.0,1408.79455,9.545485
32,206.122366,6.914462,18591.994,29.810326,6.160819,35.0,4.797579,0.905252,350.0,0.475403,1475.367319,3.424605
33,327.444959,4.659599,8891.074,67.190718,9.249318,10.669208,0.63784,0.439158,262.179399,0.695534,2987.250632,1.158897
34,295.441859,13.386748,17337.556,20.361458,5.091661,35.0,25.0,10.168007,350.0,0.0,588.915946,17.532316
35,113.200535,3.227174,3896.127,27.71107,5.939935,5.290098,1.289276,1.093279,169.752981,0.623029,1424.477196,2.253546
36,246.817868,23.629882,36103.698,10.445159,3.646805,35.0,25.0,12.0,350.0,0.0,331.674181,25.0
37,118037.277253,3898.495999,12579094.388,30.277645,6.208921,35.0,25.0,12.0,350.0,0.0,863.209466,13.874033
38,13441.987021,777.98069,1196061.11,17.278047,4.690319,35.0,25.0,12.0,350.0,0.0,536.528214,5.164555
39,183.933016,5.033539,13344.775,36.54149,6.821002,11.987899,0.762156,3.627921,350.0,0.621455,1630.692178,1.971452
40,1423.104539,46.06667,74062.404,30.892282,6.271625,35.0,25.0,12.0,350.0,0.0,876.995302,9.143751
41,504.630225,6.262565,7135.084,80.147106,10.101805,27.928428,3.161243,2.67325,254.16885,0.467531,4187.386408,6.470537
42,470.73114,19.935048,44756.238,20.935358,5.162918,35.0,25.0,12.0,350.0,0.0,600.00449,3.974624
43,175.888745,3.881742,10730.731,35.111296,6.686187,4.001013,0.0,0.674713,301.852319,0.653226,1658.280032,1.446895
44,386.045342,10.388078,19623.144,35.917697,6.762531,35.0,15.426043,9.074596,350.0,0.0,1012.827468,3.964011
45,884.665587,24.714309,32203.943,35.795683,6.751035,35.0,25.0,6.287081,350.0,0.0,1049.304905,2.930908
46,2568.691031,60.021249,74306.639,42.796361,7.381735,35.0,25.0,12.0,350.0,0.0,1216.313303,3.462844
47,153.418434,5.045585,6213.926,27.766839,5.945909,13.66724,0.0,3.319092,243.318663,0.611414,1316.954187,10.443289
48,1377.817067,16.373828,39182.107,84.147521,10.350843,35.0,25.0,12.0,350.0,0.0,2338.459546,3.460392
49,814.988287,28.143484,79248.169,28.482812,6.02208,35.0,25.0,12.0,350.0,0.0,784.29786,10.025268
50,112181.140193,4802.853182,8100444.462,20.375984,5.093477,35.0,25.0,12.0,350.0,0.0,587.235461,25.0
51,5404.358393,137.30356,326091.329,34.990146,6.674641,35.0,25.0,12.0,350.0,0.0,1001.304672,3.884637
52,177.619829,5.073407,6422.984,35.009968,6.676532,14.655234,1.479427,1.738598,228.82419,0.639695,1948.269651,1.517163
53,1518.45437,34.3663,40189.685,44.184401,7.500488,35.0,25.0,12.0,350.0,0.0,1214.805565,3.957961
54,195.515922,4.238822,9324.03,42.110995,7.322389,7.610147,0.587103,0.752823,274.810263,0.736935,1992.632006,1.441038
55,336.039084,6.675341,14255.561,50.340363,8.005957,35.0,2.180435,3.078804,350.0,0.396767,2495.293957,3.439296
56,112.270476,4.391412,6627.049,20.611039,5.122772,7.558865,0.69555,2.8623,246.113222,0.596239,1075.094942,1.599085
