technique,anode_material,anode_symbol,cathode_material,cathode_symbol,tab_thickness_um,surface_coating,power_W,pulse_energy_J,amplitude_um,force_N,weld_time_ms,speed_mm_s,pulse_frequency_Hz,preheat_temp_C,ambient_humidity_pct,clamp_area_mm2,linear_energy_density_J_per_mm,total_energy_input_J,nugget_diameter_mm,bond_area_mm2,porosity_pct,imc_thickness_um,peak_temp_C,haz_width_mm,contact_resistance_mOhm,tensile_shear_strength_N,peel_strength_N,visual_defect_score,microhardness_HV,forward_pass_fail,pressure_MPa,effective_energy_J,resistance_growth_pct_1000cyc,strength_retention_pct_1000cyc,cycles_to_failure,crack_growth_mm,delamination_probability,reliability_class
RSW,StainlessSteel,SS304,Nickel,Ni,153.5,Carbon-coated,1730.72,,,534.6,69.1,,,75.0,28.6,5.84,,78.52,4.074,13.037,10.0,2.084,194.0,0.236,0.2719,2872.3,1906.2,72.9,118.6,True,91.554,61.26,6.75,91.38,9537,0.262,0.3327,A
USW,Copper,Cu,Aluminum,Al,107.6,Nickel-plated,2446.89,,53.09,1170.89,331.8,,,66.3,13.0,13.69,,618.366,6.0,28.274,4.075,6.74,229.7,0.541,0.1471,3560.2,2318.0,87.1,94.1,True,85.501,316.863,10.24,84.81,8823,0.185,0.4383,B
USW,Nickel,Ni,Copper,Cu,163.3,Oxide,2481.7,,46.08,978.24,219.8,,,-7.3,77.7,17.91,,394.268,6.0,28.274,6.605,3.028,135.0,0.4,0.5289,5755.7,3741.8,80.9,119.0,True,54.63,193.982,12.4,98.19,9282,0.194,0.3191,A
Laser,Copper,Cu,Aluminum,Al,120.9,Bare,2874.27,0.4924,,970.43,1118.0,58.516,158.311,103.8,19.0,21.8,49.1195,1962.952,6.0,28.274,6.311,12.0,416.9,1.483,0.2691,3307.2,2107.2,72.2,107.6,True,44.513,964.196,21.43,71.89,7631,0.33,0.7762,C
RSW,Nickel,Ni,Copper,Cu,41.6,Nickel-plated,4027.77,,,2012.98,264.5,,,105.1,58.6,9.38,,752.919,6.0,28.274,0.946,8.176,345.1,0.999,0.1444,3993.6,2569.1,97.4,128.4,True,214.544,556.896,11.1,85.24,10529,0.135,0.4348,B
RSW,StainlessSteel,SS304,Nickel,Ni,246.6,Tin-plated,4169.0,,,740.56,166.6,,,6.7,43.0,5.82,,475.018,6.0,28.274,6.514,3.587,235.5,0.827,0.181,5992.9,3901.1,83.6,126.4,True,127.254,293.362,7.92,99.18,8765,0.224,0.3775,A
Laser,Aluminum,Al,Aluminum,Al,177.2,Bare,2926.01,9.3596,,810.93,1864.6,78.15,83.02,77.5,14.7,19.7,37.4411,3853.041,6.0,28.274,14.296,12.0,676.8,3.189,0.3794,2666.0,1738.5,55.5,109.4,False,41.158,1854.747,24.18,70.5,6628,0.477,0.8821,C
RSW,Nickel,Ni,Copper,Cu,160.7,Bare,6486.43,,,2311.58,326.4,,,74.7,74.8,5.23,,1489.965,6.0,28.274,5.322,9.091,363.6,1.298,0.08,3530.1,2309.2,78.7,122.2,True,441.658,738.253,15.67,85.11,9466,0.303,0.6433,B
Laser,Copper,Cu,StainlessSteel,SS304,246.7,Nickel-plated,1387.49,8.6082,,953.05,2821.6,89.863,145.539,-8.7,14.9,22.89,15.44,3763.003,6.0,28.274,14.369,12.0,556.8,2.944,0.2097,2755.5,1806.8,49.5,130.3,False,41.632,1616.775,21.1,74.82,6920,0.455,0.905,C
Laser,Copper,Cu,Copper,Cu,49.2,Bare,1717.4,10.1792,,185.09,134.0,40.9,38.821,2.9,73.4,17.38,41.99,159.298,6.0,28.274,14.797,1.732,107.4,0.173,0.5059,5522.8,3559.8,56.0,108.0,False,10.649,72.366,8.99,96.96,8899,0.353,0.4338,A
