# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
Temperature_C,CTE_1e-6_per_K,Thermal_Conductivity_W_per_mK,Specific_Heat_Capacity_J_per_kgK,Elastic_Modulus_GPa,Poissons_Ratio,Density_kg_per_m3
25,10.5125,2.97,402.5,217.5,0.31,6100
50,10.525,2.94,405.0,215.0,0.31,6100
75,10.5375,2.91,407.5,212.5,0.31,6100
100,10.55,2.88,410.0,210.0,0.31,6100
125,10.5625,2.85,412.5,207.5,0.31,6100
150,10.575,2.82,415.0,205.0,0.31,6100
175,10.5875,2.79,417.5,202.5,0.31,6100
200,10.6,2.76,420.0,200.0,0.31,6100
225,10.6125,2.73,422.5,197.5,0.31,6100
250,10.625,2.7,425.0,195.0,0.31,6100
275,10.6375,2.67,427.5,192.5,0.31,6100
300,10.65,2.64,430.0,190.0,0.31,6100
325,10.6625,2.61,432.5,187.5,0.31,6100
350,10.675,2.58,435.0,185.0,0.31,6100
375,10.6875,2.55,437.5,182.5,0.31,6100
400,10.7,2.52,440.0,180.0,0.31,6100
425,10.7125,2.49,442.5,177.5,0.31,6100
450,10.725,2.46,445.0,175.0,0.31,6100
475,10.7375,2.43,447.5,172.5,0.31,6100
500,10.75,2.4,450.0,170.0,0.31,6100
525,10.7625,2.37,452.5,167.5,0.31,6100
550,10.775,2.34,455.0,165.0,0.31,6100
575,10.7875,2.31,457.5,162.5,0.31,6100
600,10.8,2.2800000000000002,460.0,160.0,0.31,6100
625,10.8125,2.25,462.5,157.5,0.31,6100
650,10.825,2.2199999999999998,465.0,155.0,0.31,6100
675,10.8375,2.19,467.5,152.5,0.31,6100
700,10.85,2.16,470.0,150.0,0.31,6100
725,10.8625,2.13,472.5,147.5,0.31,6100
750,10.875,2.1,475.0,145.0,0.31,6100
775,10.8875,2.0700000000000003,477.5,142.5,0.31,6100
800,10.9,2.04,480.0,140.0,0.31,6100
825,10.9125,2.0100000000000002,482.5,137.5,0.31,6100
850,10.925,1.98,485.0,135.0,0.31,6100
875,10.9375,1.95,487.5,132.5,0.31,6100
900,10.95,1.92,490.0,130.0,0.31,6100
925,10.9625,1.89,492.5,127.5,0.31,6100
950,10.975,1.86,495.0,125.0,0.31,6100
975,10.9875,1.83,497.5,122.5,0.31,6100
1000,11.0,1.8,500.0,120.0,0.31,6100
