# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
Temperature_C,CTE_1e-6_per_K,Thermal_Conductivity_W_per_mK,Specific_Heat_Capacity_J_per_kgK,Elastic_Modulus_GPa,Poissons_Ratio,Density_kg_per_m3
25,11.53,30.85,452.5,198.25,0.29,7600
50,11.56,30.7,455.0,196.5,0.29,7600
75,11.59,30.55,457.5,194.75,0.29,7600
100,11.62,30.4,460.0,193.0,0.29,7600
125,11.65,30.25,462.5,191.25,0.29,7600
150,11.68,30.1,465.0,189.5,0.29,7600
175,11.71,29.95,467.5,187.75,0.29,7600
200,11.74,29.8,470.0,186.0,0.29,7600
225,11.77,29.65,472.5,184.25,0.29,7600
250,11.8,29.5,475.0,182.5,0.29,7600
275,11.83,29.35,477.5,180.75,0.29,7600
300,11.86,29.2,480.0,179.0,0.29,7600
325,11.89,29.05,482.5,177.25,0.29,7600
350,11.92,28.9,485.0,175.5,0.29,7600
375,11.95,28.75,487.5,173.75,0.29,7600
400,11.98,28.6,490.0,172.0,0.29,7600
425,12.01,28.45,492.5,170.25,0.29,7600
450,12.04,28.3,495.0,168.5,0.29,7600
475,12.07,28.15,497.5,166.75,0.29,7600
500,12.1,28.0,500.0,165.0,0.29,7600
525,12.13,27.85,502.5,163.25,0.29,7600
550,12.16,27.7,505.0,161.5,0.29,7600
575,12.19,27.55,507.5,159.75,0.29,7600
600,12.22,27.4,510.0,158.0,0.29,7600
625,12.25,27.25,512.5,156.25,0.29,7600
650,12.28,27.1,515.0,154.5,0.29,7600
675,12.31,26.95,517.5,152.75,0.29,7600
700,12.34,26.8,520.0,151.0,0.29,7600
725,12.37,26.65,522.5,149.25,0.29,7600
750,12.4,26.5,525.0,147.5,0.29,7600
775,12.43,26.35,527.5,145.75,0.29,7600
800,12.46,26.2,530.0,144.0,0.29,7600
825,12.49,26.05,532.5,142.25,0.29,7600
850,12.52,25.9,535.0,140.5,0.29,7600
875,12.55,25.75,537.5,138.75,0.29,7600
900,12.58,25.6,540.0,137.0,0.29,7600
925,12.61,25.45,542.5,135.25,0.29,7600
950,12.64,25.3,545.0,133.5,0.29,7600
975,12.67,25.15,547.5,131.75,0.29,7600
1000,12.7,25.0,550.0,130.0,0.29,7600
