date,disco,customer_class,tariff_naira_per_kwh,fixed_charge_naira,vat_percent,regulatory_charge_percent,effective_tariff_naira_per_kwh
2020-01-01,Abuja,Residential,26.6,750,7.5,1.5,28.99
2020-01-01,Abuja,Commercial,35.85,1500,7.5,1.5,39.08
2020-01-01,Abuja,Industrial,32.79,5000,7.5,1.5,35.75
2020-01-01,Abuja,Special,45.76,2500,7.5,1.5,49.88
2020-01-01,Benin,Residential,25.37,750,7.5,1.5,27.65
2020-01-01,Benin,Commercial,35.76,1500,7.5,1.5,38.98
2020-01-01,Benin,Industrial,29.26,5000,7.5,1.5,31.9
2020-01-01,Benin,Special,46.55,2500,7.5,1.5,50.74
2020-01-01,Eko,Residential,26.44,750,7.5,1.5,28.82
2020-01-01,Eko,Commercial,39.96,1500,7.5,1.5,43.56
2020-01-01,Eko,Industrial,33.7,5000,7.5,1.5,36.73
2020-01-01,Eko,Special,50.56,2500,7.5,1.5,55.11
2020-01-01,Enugu,Residential,23.92,750,7.5,1.5,26.07
2020-01-01,Enugu,Commercial,37.06,1500,7.5,1.5,40.39
2020-01-01,Enugu,Industrial,30.38,5000,7.5,1.5,33.11
2020-01-01,Enugu,Special,43.1,2500,7.5,1.5,46.98
2020-01-01,Ibadan,Residential,23.25,750,7.5,1.5,25.34
2020-01-01,Ibadan,Commercial,36.35,1500,7.5,1.5,39.62
2020-01-01,Ibadan,Industrial,31.26,5000,7.5,1.5,34.07
2020-01-01,Ibadan,Special,45.88,2500,7.5,1.5,50.01
2020-01-01,Ikeja,Residential,26.14,750,7.5,1.5,28.49
2020-01-01,Ikeja,Commercial,37.98,1500,7.5,1.5,41.4
2020-01-01,Ikeja,Industrial,33.44,5000,7.5,1.5,36.45
2020-01-01,Ikeja,Special,48.0,2500,7.5,1.5,52.32
2020-01-01,Jos,Residential,22.81,750,7.5,1.5,24.86
2020-01-01,Jos,Commercial,34.16,1500,7.5,1.5,37.23
2020-01-01,Jos,Industrial,28.07,5000,7.5,1.5,30.6
2020-01-01,Jos,Special,42.22,2500,7.5,1.5,46.02
2020-01-01,Kaduna,Residential,23.96,750,7.5,1.5,26.12
2020-01-01,Kaduna,Commercial,35.36,1500,7.5,1.5,38.54
2020-01-01,Kaduna,Industrial,30.73,5000,7.5,1.5,33.49
2020-01-01,Kaduna,Special,46.27,2500,7.5,1.5,50.43
2020-01-01,Kano,Residential,24.7,750,7.5,1.5,26.92
2020-01-01,Kano,Commercial,33.82,1500,7.5,1.5,36.86
2020-01-01,Kano,Industrial,31.4,5000,7.5,1.5,34.22
2020-01-01,Kano,Special,45.37,2500,7.5,1.5,49.45
2020-01-01,Port Harcourt,Residential,25.32,750,7.5,1.5,27.6
2020-01-01,Port Harcourt,Commercial,37.15,1500,7.5,1.5,40.49
2020-01-01,Port Harcourt,Industrial,30.1,5000,7.5,1.5,32.81
2020-01-01,Port Harcourt,Special,46.87,2500,7.5,1.5,51.09
2020-01-01,Yola,Residential,21.58,750,7.5,1.5,23.52
2020-01-01,Yola,Commercial,31.18,1500,7.5,1.5,33.99
2020-01-01,Yola,Industrial,26.02,5000,7.5,1.5,28.36
2020-01-01,Yola,Special,40.3,2500,7.5,1.5,43.93
2020-04-01,Abuja,Residential,26.0,750,7.5,1.5,28.34
2020-04-01,Abuja,Commercial,39.05,1500,7.5,1.5,42.57
2020-04-01,Abuja,Industrial,31.78,5000,7.5,1.5,34.64
2020-04-01,Abuja,Special,48.36,2500,7.5,1.5,52.71
2020-04-01,Benin,Residential,25.26,750,7.5,1.5,27.54
2020-04-01,Benin,Commercial,35.65,1500,7.5,1.5,38.86
2020-04-01,Benin,Industrial,29.19,5000,7.5,1.5,31.82
2020-04-01,Benin,Special,46.57,2500,7.5,1.5,50.76
2020-04-01,Eko,Residential,26.93,750,7.5,1.5,29.35
2020-04-01,Eko,Commercial,40.06,1500,7.5,1.5,43.66
2020-04-01,Eko,Industrial,33.75,5000,7.5,1.5,36.78
2020-04-01,Eko,Special,47.33,2500,7.5,1.5,51.59
2020-04-01,Enugu,Residential,23.5,750,7.5,1.5,25.61
2020-04-01,Enugu,Commercial,34.74,1500,7.5,1.5,37.87
2020-04-01,Enugu,Industrial,29.55,5000,7.5,1.5,32.21
2020-04-01,Enugu,Special,46.53,2500,7.5,1.5,50.71
2020-04-01,Ibadan,Residential,24.54,750,7.5,1.5,26.75
