Experiment_ID,Heating_Rate_C_per_min,Peak_Temperature_C,Hold_Time_min,Atmosphere,Total_Cycle_Time_min,Warpage_Max_mm,Warpage_RMS_mm,Cracking,Final_Relative_Density,Final_Porosity_fraction,Average_Grain_Size_um,Success,Quality_Score
EXP_0001,1,1200.0,0,air,1997.5,0.8338489440309194,0.5836942608216436,False,0.8358402502478803,0.16415974975211967,0.5,False,50.0
EXP_0002,1,1200.0,0,reducing_10H2_90N2,1997.5,0.629360755934699,0.4405525291542893,False,0.8308302409067007,0.16916975909329934,0.5,False,50.0
EXP_0003,1,1200.0,0,reducing_5H2_95N2,1997.5,0.8627579186711059,0.603930543069774,False,0.881731251523209,0.11826874847679103,0.5,False,70.0
EXP_0004,1,1200.0,0,inert_N2,1997.5,0.9627350627224318,0.6739145439057023,False,0.8946689012445758,0.10533109875542424,0.5,False,70.0
EXP_0005,1,1200.0,15,air,2012.5,1.2797469240237944,0.895822846816656,False,0.7737987013541883,0.22620129864581173,0.5,False,50.0
EXP_0006,1,1200.0,15,reducing_10H2_90N2,2012.5,0.05515514483795408,0.03309308690277245,False,0.9315657377645938,0.06843426223540616,0.5,True,97.2422427581023
EXP_0007,1,1200.0,15,reducing_5H2_95N2,2012.5,1.4284604989128697,0.9999223492390088,False,0.8333336337233583,0.16666636627664166,0.5,False,50.0
EXP_0008,1,1200.0,15,inert_N2,2012.5,0.8771797706756961,0.6140258394729872,False,0.7674689916570062,0.23253100834299378,0.5,False,50.0
EXP_0009,1,1200.0,30,air,2027.5,0.8066054665023406,0.5646238265516383,True,0.8270610839330843,0.1729389160669157,0.5,False,10.0
EXP_0010,1,1200.0,30,reducing_10H2_90N2,2027.5,0.43759803406903564,0.3063186238483249,False,0.8224358674885542,0.17756413251144576,0.5,False,58.12009829654822
EXP_0011,1,1200.0,30,reducing_5H2_95N2,2027.5,0.1446843063499433,0.08681058380996598,False,0.9614188096812201,0.038581190318779934,0.5,True,102.76578468250284
EXP_0012,1,1200.0,30,inert_N2,2027.5,0.91017921166752,0.637125448167264,True,0.8664040655056787,0.13359593449432128,0.5,False,30.0
EXP_0013,1,1200.0,60,air,2057.5,0.36179605061004216,0.2532572354270295,False,0.8127978071574028,0.1872021928425972,0.5,False,61.91019746949789
EXP_0014,1,1200.0,60,reducing_10H2_90N2,2057.5,1.3282557755750648,0.9297790429025453,False,0.8360589989395855,0.16394100106041454,0.5,False,50.0
EXP_0015,1,1200.0,60,reducing_5H2_95N2,2057.5,0.25970288540492464,0.18179201978344725,False,0.9036464827629715,0.09635351723702845,0.5,False,87.01485572975376
EXP_0016,1,1200.0,60,inert_N2,2057.5,1.50587212431387,1.0541104870197089,True,0.9032668812469039,0.09673311875309609,0.5,False,30.0
EXP_0017,1,1200.0,120,air,2117.5,0.5294936361549898,0.3706455453084928,True,0.7923159094484865,0.2076840905515135,0.53527675268434,False,13.52531819225051
EXP_0018,1,1200.0,120,reducing_10H2_90N2,2117.5,0.992441854254857,0.6947092979783999,True,0.8590468405104498,0.14095315948955023,0.5301172241664803,False,30.0
EXP_0019,1,1200.0,120,reducing_5H2_95N2,2117.5,1.5926225562469682,1.1148357893728778,True,0.8473400749536949,0.1526599250463051,0.5593959488345701,False,10.0
EXP_0020,1,1200.0,120,inert_N2,2117.5,0.6187819634973972,0.433147374448178,False,0.8359864069457525,0.16401359305424745,0.5,False,50.0
