state,lga,year,population_estimate,area_km2,population_density_per_km2,is_synthetic_lga,urban_population_share,rural_population_share,notes,source,is_fabricated
Abia,Abia LGA 1,2025,374912,807.18,464.47,True,0.607,0.393,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Abia,Abia LGA 2,2025,14580,3.03,4806.61,True,0.643,0.357,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Abia,Abia LGA 3,2025,300661,513.51,585.5,True,0.649,0.351,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Abia,Abia LGA 4,2025,62187,420.74,147.8,True,0.616,0.384,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Abia,Abia LGA 5,2025,42994,84.13,511.06,True,0.547,0.453,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Abia,Abia LGA 6,2025,209770,33.24,6311.66,True,0.648,0.352,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Abia,Abia LGA 7,2025,23098,161.69,142.85,True,0.597,0.403,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Abia,Abia LGA 8,2025,455402,249.99,1821.7,True,0.611,0.389,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Abia,Abia LGA 9,2025,194164,1334.65,145.48,True,0.692,0.308,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Abia,Abia LGA 10,2025,163834,433.63,377.82,True,0.594,0.406,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Abia,Abia LGA 11,2025,278847,466.88,597.25,True,0.628,0.372,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Abia,Abia LGA 12,2025,536011,369.45,1450.82,True,0.631,0.369,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Abia,Abia LGA 13,2025,832547,133.31,6245.08,True,0.577,0.423,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Abia,Abia LGA 14,2025,146270,216.19,676.58,True,0.666,0.334,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Abia,Abia LGA 15,2025,233457,568.44,410.69,True,0.607,0.393,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Abia,Abia LGA 16,2025,263730,23.24,11348.29,True,0.626,0.374,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Abia,Abia LGA 17,2025,244311,500.71,487.93,True,0.543,0.457,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Adamawa,Adamawa LGA 1,2025,49625,751.85,66.0,True,0.658,0.342,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Adamawa,Adamawa LGA 2,2025,82079,1398.09,58.71,True,0.58,0.42,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Adamawa,Adamawa LGA 3,2025,153688,892.55,172.19,True,0.568,0.432,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Adamawa,Adamawa LGA 4,2025,754361,4296.22,175.59,True,0.619,0.381,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Adamawa,Adamawa LGA 5,2025,60320,1314.68,45.88,True,0.526,0.474,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Adamawa,Adamawa LGA 6,2025,114531,2725.99,42.01,True,0.453,0.547,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Adamawa,Adamawa LGA 7,2025,16030,6756.79,2.37,True,0.588,0.412,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
