State,Urban_Population_2020,Urban_Population_2023,Urban_Population_2025_Projected,Urban_Population_2030_Projected,Annual_Growth_Rate_2020_2023_Percent,Urbanization_Rate_2023_Percent,Urbanization_Rate_2030_Projected_Percent,Key_Urban_Centers
Lagos,14200000,15675000,16800000,19500000,3.5,95.0,96.5,"Lagos Island, Ikeja, Lekki, Victoria Island, Ikoyi"
Kano,8100000,9480000,10400000,12800000,5.3,60.0,68.0,"Kano Metropolitan, Wudil"
Rivers,4800000,5720000,6300000,7800000,6.0,70.2,76.5,"Port Harcourt, Obio-Akpor, Eleme"
Kaduna,3900000,4700000,5200000,6500000,6.4,50.0,58.0,"Kaduna Metro, Zaria, Kafanchan"
Oyo,4100000,4920000,5400000,6700000,6.3,60.0,66.0,"Ibadan, Ogbomosho"
FCT,2800000,3690000,4200000,5600000,9.6,90.0,92.5,"Abuja, Gwagwalada"
Ogun,2800000,3450000,3850000,4900000,7.2,60.0,68.0,"Ota, Abeokuta, Sagamu, Ijebu-Ode"
Enugu,2300000,2772000,3050000,3800000,6.4,60.0,67.0,"Enugu Metro, Nsukka"
Anambra,2900000,3558000,3950000,5000000,7.0,60.0,68.0,"Onitsha, Nnewi, Awka"
Imo,2700000,3300000,3650000,4600000,6.9,60.0,67.5,"Owerri, Orlu"
Akwa Ibom,2400000,2890000,3200000,4000000,6.4,50.0,58.0,"Uyo, Eket"
Delta,2500000,2980000,3300000,4100000,6.0,50.0,57.0,"Warri, Asaba, Sapele, Ughelli"
Edo,2300000,2736000,3000000,3700000,5.9,60.0,66.0,"Benin City, Auchi"
Abia,1950000,2388000,2650000,3350000,7.0,60.0,68.0,"Aba, Umuahia"
Cross River,1600000,1900000,2100000,2600000,5.9,50.0,57.0,"Calabar, Ikom"
Plateau,1900000,2250000,2500000,3100000,5.8,50.0,57.5,"Jos, Bukuru"
Bayelsa,850000,1004000,1100000,1350000,5.7,40.0,46.0,Yenagoa
Kwara,1450000,1720000,1900000,2350000,5.9,50.0,56.5,"Ilorin, Offa"
Niger,1500000,1836000,2050000,2600000,6.9,30.0,37.0,"Minna, Suleja, Bida"
Kogi,2000000,2375000,2600000,3200000,5.9,50.0,56.0,"Lokoja, Okene"
Ondo,1700000,2008000,2200000,2700000,5.7,40.0,46.0,"Akure, Ondo"
Osun,1650000,1912000,2100000,2600000,5.0,40.0,46.5,"Osogbo, Ile-Ife, Ilesha"
Ekiti,1200000,1380000,1500000,1850000,4.7,40.0,45.0,"Ado-Ekiti, Ikere"
Ebonyi,830000,963000,1050000,1300000,5.0,30.0,36.0,"Abakaliki, Afikpo"
Nasarawa,1000000,1180000,1300000,1650000,5.7,40.0,47.0,"Lafia, Keffi"
Bauchi,1850000,2214000,2450000,3100000,6.2,30.0,36.5,"Bauchi, Azare"
Gombe,920000,1095000,1200000,1500000,6.0,30.0,36.0,Gombe
Jigawa,1540000,1836000,2050000,2700000,6.0,30.0,37.5,"Dutse, Hadejia"
Katsina,2350000,2805000,3100000,4000000,6.1,30.0,37.0,"Katsina, Daura, Funtua"
Kebbi,1200000,1455000,1600000,2050000,6.6,30.0,36.5,"Birnin Kebbi, Argungu"
Sokoto,1420000,1695000,1900000,2450000,6.1,30.0,36.5,"Sokoto, Tambuwal"
Zamfara,1220000,1455000,1600000,2050000,6.0,30.0,36.0,"Gusau, Kaura Namoda"
Borno,1750000,2085000,2300000,2900000,6.0,30.0,35.5,"Maiduguri, Biu"
Yobe,930000,1104000,1200000,1550000,5.9,30.0,35.5,"Damaturu, Potiskum"
Adamawa,1230000,1462500,1600000,2050000,6.0,30.0,36.0,"Yola, Jimeta, Mubi"
Taraba,930000,1104000,1200000,1500000,5.9,30.0,35.0,"Jalingo, Wukari"
Benue,1600000,1905000,2100000,2650000,6.0,30.0,36.0,"Makurdi, Gboko"
