timestamp_s,setpoint_zoneA_C,setpoint_zoneB_C,setpoint_zoneC_C,action_dZoneA_C,action_dZoneB_C,action_dZoneC_C
0.0,490.0575866699219,498.8981018066406,504.7063903808594,0.0,0.0,0.0
0.016666666666666666,494.0575866699219,502.8981018066406,508.7063903808594,4.0,4.0,4.0
0.03333333333333333,498.0575866699219,506.8981018066406,512.7064208984375,4.0,4.0,4.0
0.05,502.0575866699219,510.8981018066406,516.7064208984375,4.0,4.0,4.0
0.06666666666666667,506.0575866699219,514.8980712890625,520.7064208984375,4.0,4.0,4.0
0.08333333333333333,510.0575866699219,518.8980712890625,524.7064208984375,4.0,4.0,4.0
0.1,514.0576171875,522.8980712890625,528.7064208984375,4.0,4.0,4.0
0.11666666666666667,518.0576171875,526.8980712890625,532.7064208984375,4.0,4.0,4.0
0.13333333333333333,522.0576171875,530.8980712890625,536.7064208984375,4.0,4.0,4.0
0.15,526.0576171875,534.8980712890625,540.7064208984375,4.0,4.0,4.0
0.16666666666666666,530.0576171875,538.8980712890625,544.7064208984375,4.0,4.0,4.0
0.18333333333333332,534.0576171875,542.8980712890625,548.7064208984375,4.0,4.0,4.0
0.2,538.0576171875,546.8980712890625,552.7064208984375,4.0,4.0,4.0
0.21666666666666667,542.0576171875,550.8980712890625,556.7064208984375,4.0,4.0,4.0
0.23333333333333334,546.0576171875,554.8980712890625,560.7064208984375,4.0,4.0,4.0
0.25,550.0576171875,558.8980712890625,564.7064208984375,4.0,4.0,4.0
0.26666666666666666,554.0576171875,562.8980712890625,568.7064208984375,4.0,4.0,4.0
0.2833333333333333,558.0576171875,566.8980712890625,572.7064208984375,4.0,4.0,4.0
0.3,562.0576171875,570.8980712890625,576.7064208984375,4.0,4.0,4.0
0.31666666666666665,566.0576171875,574.8980712890625,580.7064208984375,4.0,4.0,4.0
0.3333333333333333,570.0576171875,578.8980712890625,584.7064208984375,4.0,4.0,4.0
0.35,574.0576171875,582.8980712890625,588.7064208984375,4.0,4.0,4.0
0.36666666666666664,578.0576171875,586.8980712890625,592.7064208984375,4.0,4.0,4.0
0.38333333333333336,582.0576171875,590.8980712890625,596.7064208984375,4.0,4.0,4.0
0.4,586.0576171875,594.8980712890625,600.7064208984375,4.0,4.0,4.0
