state,year,area_km2,population,population_density_per_km2,urban_share,rural_share,annual_growth_rate,source
Abia,2024,49038.7,1279302,26.1,0.389,0.611,0.0204,Synthetic; calibrated to NBS ranges
Adamawa,2024,56025.9,13111753,234.0,0.335,0.665,0.0429,Synthetic; calibrated to NBS ranges
Akwa Ibom,2024,33378.4,1346864,40.4,0.502,0.498,0.0182,Synthetic; calibrated to NBS ranges
Anambra,2024,4910.6,4372677,890.5,0.518,0.482,0.0342,Synthetic; calibrated to NBS ranges
Bauchi,2024,27234.8,2332321,85.6,0.639,0.361,0.0136,Synthetic; calibrated to NBS ranges
Bayelsa,2024,46468.3,15116906,325.3,0.514,0.486,0.0371,Synthetic; calibrated to NBS ranges
Benue,2024,73064.3,7394738,101.2,0.632,0.368,0.0306,Synthetic; calibrated to NBS ranges
Borno,2024,47533.4,15737704,331.1,0.582,0.418,0.0316,Synthetic; calibrated to NBS ranges
Cross River,2024,6299.4,4632050,735.3,0.332,0.668,0.0209,Synthetic; calibrated to NBS ranges
Delta,2024,19760.9,2532491,128.2,0.554,0.446,0.0205,Synthetic; calibrated to NBS ranges
Ebonyi,2024,29267.9,6899252,235.7,0.407,0.593,0.0179,Synthetic; calibrated to NBS ranges
Edo,2024,70439.1,12114116,172.0,0.368,0.632,0.0327,Synthetic; calibrated to NBS ranges
Ekiti,2024,55497.1,3614430,65.1,0.696,0.304,0.0243,Synthetic; calibrated to NBS ranges
Enugu,2024,49080.0,10651203,217.0,0.637,0.363,0.0355,Synthetic; calibrated to NBS ranges
FCT,2024,58872.0,4474782,76.0,0.426,0.574,0.0111,Synthetic; calibrated to NBS ranges
Gombe,2024,31485.5,16368470,519.9,0.406,0.594,0.0272,Synthetic; calibrated to NBS ranges
Imo,2024,20757.2,10098445,486.5,0.534,0.466,0.0199,Synthetic; calibrated to NBS ranges
Jigawa,2024,67643.2,7386831,109.2,0.699,0.301,0.0183,Synthetic; calibrated to NBS ranges
Kaduna,2024,39685.9,2285543,57.6,0.344,0.656,0.0117,Synthetic; calibrated to NBS ranges
Kano,2024,48176.1,14220449,295.2,0.325,0.675,0.0259,Synthetic; calibrated to NBS ranges
Katsina,2024,22211.4,11152492,502.1,0.474,0.526,0.0142,Synthetic; calibrated to NBS ranges
Kebbi,2024,35668.1,18053730,506.2,0.405,0.595,0.0423,Synthetic; calibrated to NBS ranges
Kogi,2024,39042.2,4169465,106.8,0.648,0.352,0.0436,Synthetic; calibrated to NBS ranges
Kwara,2024,24488.0,11956755,488.3,0.361,0.639,0.0327,Synthetic; calibrated to NBS ranges
Lagos,2024,57900.8,10479546,181.0,0.512,0.488,0.0388,Synthetic; calibrated to NBS ranges
Nasarawa,2024,7983.3,14370254,1800.0,0.351,0.649,0.0384,Synthetic; calibrated to NBS ranges
Niger,2024,37220.3,9911635,266.3,0.649,0.351,0.02,Synthetic; calibrated to NBS ranges
Ogun,2024,33465.9,4526923,135.3,0.592,0.408,0.0302,Synthetic; calibrated to NBS ranges
Ondo,2024,45358.2,4621083,101.9,0.328,0.672,0.0183,Synthetic; calibrated to NBS ranges
Osun,2024,48439.4,5071131,104.7,0.644,0.356,0.0433,Synthetic; calibrated to NBS ranges
Oyo,2024,8101.7,5067228,625.5,0.386,0.614,0.0349,Synthetic; calibrated to NBS ranges
Plateau,2024,12526.5,16992923,1356.6,0.489,0.511,0.0313,Synthetic; calibrated to NBS ranges
Rivers,2024,59492.6,13995218,235.2,0.339,0.661,0.0172,Synthetic; calibrated to NBS ranges
Sokoto,2024,10086.1,7572304,750.8,0.645,0.355,0.0228,Synthetic; calibrated to NBS ranges
Taraba,2024,20903.3,4103768,196.3,0.469,0.531,0.0268,Synthetic; calibrated to NBS ranges
Yobe,2024,23055.3,5460029,236.8,0.477,0.523,0.0439,Synthetic; calibrated to NBS ranges
Zamfara,2024,65017.1,9605724,147.7,0.7,0.3,0.0118,Synthetic; calibrated to NBS ranges
