,firm_id,state,geo_political_zone,location_type,industry_code,industry_name,firm_age_years,num_employees,annual_turnover_naira,legal_structure,owner_age,owner_gender,owner_education,field_of_study,prior_entrepreneurial_exp,digital_literacy_score,digital_tools_computers,digital_tools_accounting_software,digital_tools_crm,digital_tools_ecommerce,digital_tools_cloud_computing,digital_tools_social_media,advanced_tech_ai_ml,advanced_tech_iot,advanced_tech_blockchain,advanced_tech_robotics,website_presence,social_media_presence,online_payments,new_production_methods,supply_chain_software,inventory_management,new_support_processes,new_products_services_3yrs,frequency_new_launches,product_improvement_efforts,revenue_model_changes,value_proposition_changes,customer_engagement_changes,competitive_pressure,customer_demand_innovation,management_innovation_attitude,access_to_credit,cost_of_innovation,internal_capital_sufficiency,skilled_employee_availability,training_costs,management_capability,electricity_reliability,internet_quality_cost,logistics_transportation,regulatory_burden,corruption_informal_charges,govt_support_effectiveness,competition_intensity,demand_uncertainty,international_market_access,profitability_growth_3yrs,sales_growth_3yrs,market_share_growth_3yrs,roi_satisfaction,overall_performance_satisfaction,annual_turnover_growth_pct,profit_margin_pct,employee_growth_pct,new_branches_3yrs,product_line_increase,service_quality_improvement,customer_satisfaction_improvement,innovation_composite_score,constraint_composite_score,performance_composite_score
count,2000,2000,2000,2000,2000,2000,2000.0,2000.0,2000.0,2000,2000.0,2000,2000,2000,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1379.0,1223.0,1607.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
unique,2000,37,6,2,19,19,,,,3,,2,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,SME_0001,Ondo,South West,Urban,G47,Retail Trade,,,,Sole Proprietorship,,Male,HND/Bachelor,Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1,101,503,1194,282,282,,,,750,,1229,526,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,,,,5.5985,11.316,15005296.602,,42.0775,,,,0.5825,5.3815,2.8575,2.865,2.8625,2.8585,2.859,2.864,2.0635,2.0865,2.075,2.089,2.8695,2.871,2.8685,2.8975,2.89,2.898,2.8835,2.8495,2.8835,2.868,2.572,2.569,2.571,3.3155,3.3125,3.285,3.566,3.587,3.563,3.569,3.576,3.571,3.8665,3.893,3.868,3.568,3.553,3.5665,3.588,3.5805,3.5765,2.4045,2.415,2.4035,2.3895,2.409,-1.7405366207396662,8.848732624693376,-0.6440572495332918,0.2045,2.4295,2.386,2.404,2.8664,3.667166666666667,2.4095
std,,,,,,,4.254803100580843,14.34838255835899,22232672.84468871,,11.01794859970189,,,,0.493270116370181,1.7266871384929925,1.1957879010728352,1.1930996368165092,1.2017969495526175,1.1849809449607027,1.194082039040023,1.1896266665651463,1.0163583236836606,1.040460969721958,1.019261716745808,1.030344507872222,1.1537483770991097,1.1861966663524361,1.1937002178541531,1.1801229152285468,1.1822008287087689,1.1884031938174595,1.1822125711062461,1.1956439822397524,1.1847487348726695,1.210086011024439,1.1530311098882742,1.1484330408102217,1.1647477489393698,1.185606419217881,1.1968959979943985,1.1897406193665427,1.0743468297320367,1.0554562965831407,1.0557406377264604,1.064333313723361,1.0506073900101653,1.0604344678622601,1.0631288122498224,1.0770938053543742,1.0691807956500592,1.0728240656034282,1.0764619757300284,1.0909504280297107,1.0746317586542629,1.0831003199849845,1.056743158507083,1.1316006406877837,1.1222320180565049,1.110091843925977,1.097903659809508,1.1248785160353625,17.947354960402212,9.206917431412359,22.765118835254757,0.7049313541807127,1.137838779680264,1.138267027508465,1.1200050024900787,0.9510011785591069,0.7982178018328799,1.061569013272583
min,,,,,,,1.0,1.0,367674.0,,25.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-50.0,-5.0,-30.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
25%,,,,,,,2.0,3.0,3549070.0,,33.75,,,,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,-13.4,1.25,-20.05,0.0,1.0,1.0,2.0,2.2,3.0,1.3333333333333333
50%,,,,,,,4.0,7.0,7899338.5,,42.0,,,,1.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,-1.6,8.4,-3.0,0.0,2.0,2.0,2.0,2.8,3.6666666666666665,2.3333333333333335
75%,,,,,,,8.0,13.0,17135371.0,,50.0,,,,1.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,10.55,15.25,14.8,0.0,3.0,3.0,3.0,3.6,4.333333333333333,3.0
