Temperature_C,CTE_1e-6_K,Youngs_Modulus_GPa,Poissons_Ratio,Shear_Viscosity_Pa_s,Density_kg_m3,Thermal_Conductivity_W_mK,Specific_Heat_J_kgK
25,11.2,145.3,0.28,1.2e+15,5850,3.2,580
100,11.4,142.1,0.28,8.5e+14,5845,3.4,595
200,11.7,137.8,0.29,4.2e+14,5838,3.7,615
300,12.0,132.5,0.29,1.8e+14,5830,4.0,635
400,12.3,126.9,0.30,6.5e+13,5820,4.3,655
500,12.6,120.8,0.30,2.1e+13,5808,4.6,675
600,12.9,114.2,0.31,5.8e+12,5795,4.9,695
700,13.2,107.1,0.31,1.4e+12,5780,5.2,715
800,13.5,99.5,0.32,3.2e+11,5763,5.5,735
900,13.8,91.4,0.32,6.8e+10,5745,5.8,755
1000,14.1,82.8,0.33,1.3e+10,5725,6.1,775
1100,14.4,73.7,0.33,2.4e+09,5703,6.4,795
1200,14.7,64.1,0.34,4.1e+08,5678,6.7,815
1300,15.0,53.9,0.34,6.5e+07,5651,7.0,835
1400,15.3,43.2,0.35,9.8e+06,5621,7.3,855
1450,15.5,37.8,0.35,5.2e+06,5605,7.5,865
1500,15.6,32.1,0.36,2.8e+06,5588,7.7,875
1550,15.8,26.3,0.36,1.5e+06,5569,7.9,885
1600,15.9,20.2,0.37,7.8e+05,5548,8.1,895
