# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
X_mm,Y_mm,Z_mm,U_x_um,U_y_um,U_z_um,Total_Displacement_um
0.00,0.00,0.000,-0.1000,-0.1000,0.0000,0.1414
0.00,0.00,0.500,-0.1000,-0.1000,0.0250,0.1436
0.00,0.00,1.000,-0.1000,-0.1000,0.0500,0.1500
0.00,7.14,0.000,-0.1000,-0.0857,0.0000,0.1317
0.00,7.14,0.500,-0.1000,-0.0857,0.0250,0.1341
0.00,7.14,1.000,-0.1000,-0.0857,0.0500,0.1409
0.00,14.29,0.000,-0.1000,-0.0714,0.0000,0.1229
0.00,14.29,0.500,-0.1000,-0.0714,0.0250,0.1254
0.00,14.29,1.000,-0.1000,-0.0714,0.0500,0.1327
0.00,21.43,0.000,-0.1000,-0.0571,0.0000,0.1152
0.00,21.43,0.500,-0.1000,-0.0571,0.0250,0.1179
0.00,21.43,1.000,-0.1000,-0.0571,0.0500,0.1256
0.00,28.57,0.000,-0.1000,-0.0429,0.0000,0.1088
0.00,28.57,0.500,-0.1000,-0.0429,0.0250,0.1116
0.00,28.57,1.000,-0.1000,-0.0429,0.0500,0.1197
0.00,35.71,0.000,-0.1000,-0.0286,0.0000,0.1040
0.00,35.71,0.500,-0.1000,-0.0286,0.0250,0.1070
0.00,35.71,1.000,-0.1000,-0.0286,0.0500,0.1154
0.00,42.86,0.000,-0.1000,-0.0143,0.0000,0.1010
0.00,42.86,0.500,-0.1000,-0.0143,0.0250,0.1041
0.00,42.86,1.000,-0.1000,-0.0143,0.0500,0.1127
0.00,50.00,0.000,-0.1000,0.0000,0.0000,0.1000
0.00,50.00,0.500,-0.1000,0.0000,0.0250,0.1031
0.00,50.00,1.000,-0.1000,0.0000,0.0500,0.1118
0.00,57.14,0.000,-0.1000,0.0143,0.0000,0.1010
0.00,57.14,0.500,-0.1000,0.0143,0.0250,0.1041
0.00,57.14,1.000,-0.1000,0.0143,0.0500,0.1127
0.00,64.29,0.000,-0.1000,0.0286,0.0000,0.1040
0.00,64.29,0.500,-0.1000,0.0286,0.0250,0.1070
0.00,64.29,1.000,-0.1000,0.0286,0.0500,0.1154
0.00,71.43,0.000,-0.1000,0.0429,0.0000,0.1088
0.00,71.43,0.500,-0.1000,0.0429,0.0250,0.1116
0.00,71.43,1.000,-0.1000,0.0429,0.0500,0.1197
0.00,78.57,0.000,-0.1000,0.0571,0.0000,0.1152
0.00,78.57,0.500,-0.1000,0.0571,0.0250,0.1179
0.00,78.57,1.000,-0.1000,0.0571,0.0500,0.1256
0.00,85.71,0.000,-0.1000,0.0714,0.0000,0.1229
0.00,85.71,0.500,-0.1000,0.0714,0.0250,0.1254
0.00,85.71,1.000,-0.1000,0.0714,0.0500,0.1327
0.00,92.86,0.000,-0.1000,0.0857,0.0000,0.1317
0.00,92.86,0.500,-0.1000,0.0857,0.0250,0.1341
0.00,92.86,1.000,-0.1000,0.0857,0.0500,0.1409
0.00,100.00,0.000,-0.1000,0.1000,0.0000,0.1414
0.00,100.00,0.500,-0.1000,0.1000,0.0250,0.1436
0.00,100.00,1.000,-0.1000,0.1000,0.0500,0.1500
7.14,0.00,0.000,-0.0857,-0.1000,0.0000,0.1317
7.14,0.00,0.500,-0.0857,-0.1000,0.0250,0.1341
7.14,0.00,1.000,-0.0857,-0.1000,0.0500,0.1409
7.14,7.14,0.000,-0.0857,-0.0857,0.0000,0.1212
7.14,7.14,0.500,-0.0857,-0.0857,0.0250,0.1238
7.14,7.14,1.000,-0.0857,-0.0857,0.0500,0.1311
7.14,14.29,0.000,-0.0857,-0.0714,0.0000,0.1116
7.14,14.29,0.500,-0.0857,-0.0714,0.0250,0.1143
7.14,14.29,1.000,-0.0857,-0.0714,0.0500,0.1223
7.14,21.43,0.000,-0.0857,-0.0571,0.0000,0.1030
7.14,21.43,0.500,-0.0857,-0.0571,0.0250,0.1060
7.14,21.43,1.000,-0.0857,-0.0571,0.0500,0.1145
7.14,28.57,0.000,-0.0857,-0.0429,0.0000,0.0958
7.14,28.57,0.500,-0.0857,-0.0429,0.0250,0.0990
7.14,28.57,1.000,-0.0857,-0.0429,0.0500,0.1081
7.14,35.71,0.000,-0.0857,-0.0286,0.0000,0.0904
7.14,35.71,0.500,-0.0857,-0.0286,0.0250,0.0937
7.14,35.71,1.000,-0.0857,-0.0286,0.0500,0.1033
7.14,42.86,0.000,-0.0857,-0.0143,0.0000,0.0869
7.14,42.86,0.500,-0.0857,-0.0143,0.0250,0.0904
7.14,42.86,1.000,-0.0857,-0.0143,0.0500,0.1003
7.14,50.00,0.000,-0.0857,0.0000,0.0000,0.0857
7.14,50.00,0.500,-0.0857,0.0000,0.0250,0.0893
7.14,50.00,1.000,-0.0857,0.0000,0.0500,0.0992
7.14,57.14,0.000,-0.0857,0.0143,0.0000,0.0869
7.14,57.14,0.500,-0.0857,0.0143,0.0250,0.0904
7.14,57.14,1.000,-0.0857,0.0143,0.0500,0.1003
7.14,64.29,0.000,-0.0857,0.0286,0.0000,0.0904
7.14,64.29,0.500,-0.0857,0.0286,0.0250,0.0937
7.14,64.29,1.000,-0.0857,0.0286,0.0500,0.1033
7.14,71.43,0.000,-0.0857,0.0429,0.0000,0.0958
7.14,71.43,0.500,-0.0857,0.0429,0.0250,0.0990
7.14,71.43,1.000,-0.0857,0.0429,0.0500,0.1081
7.14,78.57,0.000,-0.0857,0.0571,0.0000,0.1030
7.14,78.57,0.500,-0.0857,0.0571,0.0250,0.1060
7.14,78.57,1.000,-0.0857,0.0571,0.0500,0.1145
7.14,85.71,0.000,-0.0857,0.0714,0.0000,0.1116
