# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
Frequency_Hz,Z_Real_Ohm_cm2,Z_Imaginary_Ohm_cm2,Temperature_C
0.01,0.8000,-0.0003,700
0.01,0.8000,-0.0004,700
0.01,0.8000,-0.0005,700
0.02,0.8000,-0.0005,700
0.02,0.8000,-0.0007,700
0.03,0.8000,-0.0008,700
0.03,0.8000,-0.0010,700
0.04,0.8000,-0.0012,700
0.04,0.8000,-0.0014,700
0.05,0.8000,-0.0017,700
0.06,0.8000,-0.0020,700
0.08,0.8000,-0.0024,700
0.09,0.8000,-0.0029,700
0.11,0.8000,-0.0035,700
0.14,0.8000,-0.0043,700
0.16,0.7999,-0.0051,700
0.20,0.7999,-0.0062,700
0.24,0.7999,-0.0074,700
0.28,0.7998,-0.0089,700
0.34,0.7998,-0.0108,700
0.41,0.7997,-0.0130,700
0.50,0.7995,-0.0156,700
0.60,0.7993,-0.0188,700
0.72,0.7990,-0.0226,700
0.87,0.7985,-0.0272,700
1.05,0.7978,-0.0328,700
1.26,0.7969,-0.0394,700
1.52,0.7955,-0.0473,700
1.83,0.7935,-0.0568,700
2.21,0.7906,-0.0680,700
2.66,0.7865,-0.0812,700
3.20,0.7806,-0.0966,700
3.85,0.7723,-0.1144,700
4.64,0.7608,-0.1344,700
5.59,0.7451,-0.1563,700
6.73,0.7241,-0.1794,700
8.11,0.6969,-0.2023,700
9.77,0.6632,-0.2229,700
11.77,0.6233,-0.2390,700
14.17,0.5788,-0.2483,700
17.07,0.5325,-0.2494,700
20.57,0.4873,-0.2420,700
24.77,0.4461,-0.2274,700
29.84,0.4108,-0.2076,700
35.94,0.3820,-0.1851,700
43.29,0.3595,-0.1619,700
52.14,0.3426,-0.1396,700
62.80,0.3302,-0.1191,700
75.65,0.3212,-0.1007,700
91.12,0.3148,-0.0848,700
109.75,0.3103,-0.0710,700
132.19,0.3071,-0.0593,700
159.23,0.3049,-0.0495,700
191.79,0.3034,-0.0412,700
231.01,0.3024,-0.0343,700
278.26,0.3016,-0.0285,700
335.16,0.3011,-0.0237,700
403.70,0.3008,-0.0197,700
486.26,0.3005,-0.0163,700
585.70,0.3004,-0.0136,700
705.48,0.3003,-0.0113,700
849.75,0.3002,-0.0094,700
1023.53,0.3001,-0.0078,700
1232.85,0.3001,-0.0065,700
1484.97,0.3001,-0.0054,700
1788.65,0.3000,-0.0044,700
2154.43,0.3000,-0.0037,700
2595.02,0.3000,-0.0031,700
3125.72,0.3000,-0.0025,700
3764.94,0.3000,-0.0021,700
4534.88,0.3000,-0.0018,700
5462.28,0.3000,-0.0015,700
6579.33,0.3000,-0.0012,700
7924.83,0.3000,-0.0010,700
9545.48,0.3000,-0.0008,700
11497.57,0.3000,-0.0007,700
13848.86,0.3000,-0.0006,700
16681.01,0.3000,-0.0005,700
20092.33,0.3000,-0.0004,700
24201.28,0.3000,-0.0003,700
29150.53,0.3000,-0.0003,700
35111.92,0.3000,-0.0002,700
42292.43,0.3000,-0.0002,700
50941.38,0.3000,-0.0002,700
61359.07,0.3000,-0.0001,700
73907.22,0.3000,-0.0001,700
89021.51,0.3000,-0.0001,700
107226.72,0.3000,-0.0001,700
129154.97,0.3000,-0.0001,700
155567.61,0.3000,-0.0001,700
187381.74,0.3000,-0.0000,700
225701.97,0.3000,-0.0000,700
271858.82,0.3000,-0.0000,700
327454.92,0.3000,-0.0000,700
