state,year,saidi_hours_per_year,saifi_interruptions_per_year,availability_percent,customer_base_thousands,avg_petrol_price_naira_per_liter,avg_diesel_price_naira_per_liter,biomass_energy_potential_twh,biomass_electricity_potential_mwh,daily_flaring_mmscf,annual_flaring_mmscf,co2_emissions_tonnes,economic_value_lost_usd_millions,sofc_priority_score,sofc_gas_availability_mmscf_per_day,sofc_power_potential_mw,sofc_economic_viability_score
Lagos,2024,12.24,46.09,99.86,124,233.73583333333332,262.28583333333336,19.422591666666666,94221.64216,0.0,0.0,0.0,0.0,4,0.0,0.0,3
Kano,2024,12.31,113.62,99.86,81,206.88666666666668,254.29666666666662,38.45825555555555,226814.22298,0.0,0.0,0.0,0.0,4,0.0,0.0,3
Rivers,2024,8.73,57.45,99.9,104,234.1258333333333,249.22416666666663,13.606933333333332,132037.08089,49.82,18185.420000000002,45.46,0.06,6,49.82,24.91,3
Oyo,2024,22.55,90.66,99.74,298,221.0666666666667,220.39833333333334,18.524541666666668,174726.45116,0.0,0.0,0.0,0.0,4,0.0,0.0,3
Kaduna,2024,24.51,64.55,99.72,312,211.8975,241.3366666666667,29.56771388888889,223538.1649,0.0,0.0,0.0,0.0,4,0.0,0.0,3
Enugu,2024,21.59,101.01,99.75,271,225.2458333333333,230.62916666666663,14.606294444444446,100943.40364,0.0,0.0,0.0,0.0,4,0.0,0.0,3
Delta,2024,18.79,113.66,99.79,330,224.88750000000002,233.08083333333332,10.0345,129557.02245,75.25,27467.879999999997,68.67,0.09,6,75.25,37.625,3
Ogun,2024,28.35,127.96,99.68,427,212.54250000000002,229.97583333333333,12.834161111111111,164584.59860000003,0.0,0.0,0.0,0.0,4,0.0,0.0,3
Anambra,2024,36.53,96.82,99.58,359,213.74250000000004,232.17083333333335,17.611272222222222,154166.4705,0.0,0.0,0.0,0.0,4,0.0,0.0,3
Imo,2024,42.97,127.33,99.51,338,215.9316666666667,241.05583333333334,12.250080555555556,102240.41638,0.0,0.0,0.0,0.0,4,0.0,0.0,3
Cross River,2024,30.07,146.22,99.66,88,196.24583333333337,250.70416666666665,6.678025,119685.57922,0.0,0.0,0.0,0.0,4,0.0,0.0,2
Plateau,2024,20.36,137.41,99.77,388,197.16916666666668,242.9,26.24915833333333,125501.12744,0.0,0.0,0.0,0.0,4,0.0,0.0,2
Bauchi,2024,42.68,148.07,99.51,135,207.0583333333333,253.75833333333335,35.37937222222222,180972.05547,0.0,0.0,0.0,0.0,4,0.0,0.0,3
Sokoto,2024,41.38,100.71,99.53,237,239.82999999999996,288.89416666666665,38.87013888888889,77179.16498,0.0,0.0,0.0,0.0,4,0.0,0.0,3
Borno,2024,28.45,142.14,99.68,219,238.78833333333338,277.18250000000006,33.736225,72609.00971,0.0,0.0,0.0,0.0,4,0.0,0.0,3
