year,month,date,total_installed_capacity_mw,total_available_capacity_mw,gas_capacity_mw,gas_capacity_factor,residential_tariff_naira_per_kwh,proven_gas_reserves_tcf,daily_gas_production_mmscf,daily_gas_flaring_mmscf,flaring_percentage,avg_petrol_price_naira_per_liter,avg_diesel_price_naira_per_liter,sofc_gas_availability_mmscf_per_day,sofc_power_potential_mw,sofc_economic_viability_index
2020,1,2020-01-01,12160.0,8453.0,8000.0,0.6,13.0,200.0,3000.0,308.79999999999995,10.293333333333333,151.93256756756756,167.63346846846846,1200.0,600.0,4.691677686486486
2020,2,2020-02-01,12160.0,8453.0,8000.0,0.6,13.0,200.0,3000.0,308.79999999999995,10.293333333333333,151.93256756756756,167.63346846846846,1200.0,600.0,4.691677686486486
2020,3,2020-03-01,12160.0,8453.0,8000.0,0.6,13.0,200.0,3000.0,308.79999999999995,10.293333333333333,151.93256756756756,167.63346846846846,1200.0,600.0,4.691677686486486
2020,4,2020-04-01,12160.0,8453.0,8000.0,0.6,13.0,200.0,3000.0,308.79999999999995,10.293333333333333,151.93256756756756,167.63346846846846,1200.0,600.0,4.691677686486486
2020,5,2020-05-01,12160.0,8453.0,8000.0,0.6,13.0,200.0,3000.0,308.79999999999995,10.293333333333333,151.93256756756756,167.63346846846846,1200.0,600.0,4.691677686486486
2020,6,2020-06-01,12160.0,8453.0,8000.0,0.6,13.0,200.0,3000.0,308.79999999999995,10.293333333333333,151.93256756756756,167.63346846846846,1200.0,600.0,4.691677686486486
2020,7,2020-07-01,12160.0,8453.0,8000.0,0.6,13.0,200.0,3000.0,308.79999999999995,10.293333333333333,151.93256756756756,167.63346846846846,1200.0,600.0,4.691677686486486
2020,8,2020-08-01,12160.0,8453.0,8000.0,0.6,13.0,200.0,3000.0,308.79999999999995,10.293333333333333,151.93256756756756,167.63346846846846,1200.0,600.0,4.691677686486486
2020,9,2020-09-01,12160.0,8453.0,8000.0,0.6,13.0,200.0,3000.0,308.79999999999995,10.293333333333333,151.93256756756756,167.63346846846846,1200.0,600.0,4.691677686486486
2020,10,2020-10-01,12160.0,8453.0,8000.0,0.6,13.0,200.0,3000.0,308.79999999999995,10.293333333333333,151.93256756756756,167.63346846846846,1200.0,600.0,4.691677686486486
2020,11,2020-11-01,12160.0,8453.0,8000.0,0.6,13.0,200.0,3000.0,308.79999999999995,10.293333333333333,151.93256756756756,167.63346846846846,1200.0,600.0,4.691677686486486
2020,12,2020-12-01,12160.0,8453.0,8000.0,0.6,13.0,200.0,3000.0,308.79999999999995,10.293333333333333,151.93256756756756,167.63346846846846,1200.0,600.0,4.691677686486486
2021,1,2021-01-01,12415.0,8752.0,8200.0,0.6097560975609756,14.04,202.0,3050.0,322.65,10.578688524590163,166.4038963963964,185.953536036036,1220.0,610.0,5.369021717229729
2021,2,2021-02-01,12415.0,8752.0,8200.0,0.6097560975609756,14.04,202.0,3050.0,322.65,10.578688524590163,166.4038963963964,185.953536036036,1220.0,610.0,5.369021717229729
2021,3,2021-03-01,12415.0,8752.0,8200.0,0.6097560975609756,14.04,202.0,3050.0,322.65,10.578688524590163,166.4038963963964,185.953536036036,1220.0,610.0,5.369021717229729
2021,4,2021-04-01,12415.0,8752.0,8200.0,0.6097560975609756,14.04,202.0,3050.0,322.65,10.578688524590163,166.4038963963964,185.953536036036,1220.0,610.0,5.369021717229729
2021,5,2021-05-01,12415.0,8752.0,8200.0,0.6097560975609756,14.04,202.0,3050.0,322.65,10.578688524590163,166.4038963963964,185.953536036036,1220.0,610.0,5.369021717229729
2021,6,2021-06-01,12415.0,8752.0,8200.0,0.6097560975609756,14.04,202.0,3050.0,322.65,10.578688524590163,166.4038963963964,185.953536036036,1220.0,610.0,5.369021717229729
2021,7,2021-07-01,12415.0,8752.0,8200.0,0.6097560975609756,14.04,202.0,3050.0,322.65,10.578688524590163,166.4038963963964,185.953536036036,1220.0,610.0,5.369021717229729
