state,year,month,petrol_price_naira_per_liter,diesel_price_naira_per_liter,price_difference_naira
Abia,2020,1,174.11,186.21,12.1
Abia,2020,2,174.28,193.2,18.91
Abia,2020,3,167.53,181.96,14.43
Abia,2020,4,164.75,182.14,17.39
Abia,2020,5,164.92,175.04,10.11
Abia,2020,6,164.06,168.16,4.1
Abia,2020,7,147.59,162.77,15.17
Abia,2020,8,139.87,160.54,20.66
Abia,2020,9,136.87,161.02,24.15
Abia,2020,10,149.03,151.13,2.1
Abia,2020,11,143.44,167.19,23.75
Abia,2020,12,162.12,174.51,12.39
Abia,2021,1,176.5,172.73,-3.77
Abia,2021,2,192.0,188.18,-3.82
Abia,2021,3,184.39,179.97,-4.42
Abia,2021,4,181.78,182.64,0.87
Abia,2021,5,183.15,182.1,-1.04
Abia,2021,6,177.11,170.6,-6.51
Abia,2021,7,155.82,165.99,10.17
Abia,2021,8,159.81,157.22,-2.59
Abia,2021,9,157.62,153.87,-3.74
Abia,2021,10,156.1,155.13,-0.97
Abia,2021,11,154.3,156.15,1.85
Abia,2021,12,162.52,173.41,10.89
Abia,2022,1,190.69,205.91,15.22
Abia,2022,2,187.91,224.16,36.24
Abia,2022,3,186.75,211.91,25.16
Abia,2022,4,185.63,211.17,25.54
Abia,2022,5,191.1,217.72,26.62
Abia,2022,6,176.83,208.62,31.79
Abia,2022,7,170.81,185.1,14.29
Abia,2022,8,165.65,184.45,18.81
Abia,2022,9,161.88,188.21,26.33
Abia,2022,10,156.49,176.57,20.08
Abia,2022,11,161.27,189.7,28.43
Abia,2022,12,180.05,208.41,28.36
Abia,2023,1,188.17,224.27,36.1
Abia,2023,2,188.88,234.84,45.96
Abia,2023,3,207.57,237.39,29.82
Abia,2023,4,196.72,243.57,46.85
Abia,2023,5,187.15,241.56,54.42
Abia,2023,6,189.05,214.24,25.19
Abia,2023,7,171.62,204.55,32.94
Abia,2023,8,161.5,191.38,29.88
Abia,2023,9,164.41,197.78,33.37
Abia,2023,10,157.65,196.23,38.58
Abia,2023,11,178.67,203.27,24.6
Abia,2023,12,174.28,219.46,45.18
Abia,2024,1,240.38,246.55,6.17
Abia,2024,2,238.13,254.31,16.18
Abia,2024,3,244.29,255.04,10.74
Abia,2024,4,247.81,249.53,1.71
Abia,2024,5,226.63,248.32,21.69
Abia,2024,6,221.03,221.65,0.63
Abia,2024,7,203.99,219.36,15.37
Abia,2024,8,209.22,198.9,-10.32
Abia,2024,9,202.8,200.31,-2.49
Abia,2024,10,208.55,202.2,-6.35
Abia,2024,11,217.89,214.92,-2.97
Abia,2024,12,234.89,220.53,-14.36
Adamawa,2020,1,182.71,194.74,12.03
Adamawa,2020,2,176.98,197.31,20.32
Adamawa,2020,3,189.43,197.68,8.25
Adamawa,2020,4,181.91,189.19,7.28
Adamawa,2020,5,168.13,195.11,26.98
Adamawa,2020,6,173.6,181.1,7.5
Adamawa,2020,7,156.02,167.23,11.21
Adamawa,2020,8,155.91,169.73,13.82
Adamawa,2020,9,156.04,165.35,9.31
Adamawa,2020,10,154.63,156.46,1.83
Adamawa,2020,11,153.21,176.55,23.35
Adamawa,2020,12,168.69,169.95,1.26
Adamawa,2021,1,178.08,216.59,38.5
Adamawa,2021,2,194.83,236.46,41.63
Adamawa,2021,3,199.26,228.39,29.13
Adamawa,2021,4,198.0,225.91,27.91
Adamawa,2021,5,184.09,229.72,45.63
Adamawa,2021,6,181.11,220.97,39.87
Adamawa,2021,7,172.19,204.23,32.04
Adamawa,2021,8,156.36,192.44,36.08
Adamawa,2021,9,156.82,187.24,30.42
